id,date,desc,details
0,1992/05/27,My parents are Avery and Jackson.,My parents are Avery and Jackson.
1,2010/01/01,I did hiking on 2010/01/01.,I did hiking on 2010/01/01.
2,2010/01/01,I prepare sushi for dinner.,I prepare sushi for dinner.
3,2010/01/01,I spent 7 minutes watching a documentary on TV today.,I spent 7 minutes watching a documentary on TV today.
4,2010/01/02,I went on a date with Leah on 2010/01/02 at a boba shop,I went on a date with Leah on 2010/01/02 at a boba shop
5,2010/01/02,"I had chinese food for lunch with Hazel, Layla, Rylee, Piper, Olivia, Piper, Claire, Eva, Nevaeh","I had chinese food for lunch with Hazel, Layla, Rylee, Piper, Olivia, Piper, Claire, Eva, Nevaeh"
6,2010/01/02,I ate pasta for dinner.,I ate pasta for dinner.
7,2010/01/02,I spent 41 talking to Nora on various topics in the morning.,I spent 41 talking to Nora on various topics in the morning.
8,2010/01/03,I did HIIT on 2010/01/03.,I did HIIT on 2010/01/03.
9,2010/01/03,I prepare oatmeal for breakfast.,I prepare oatmeal for breakfast.
10,2010/01/03,"I talked to Piper, Lydia for 30 minutes late in the evening.","I talked to Piper, Lydia for 30 minutes late in the evening."
11,2010/01/03,"I talked to Nora, Nevaeh, Piper, Olivia for 5 minutes in the late afternoon.","I talked to Nora, Nevaeh, Piper, Olivia for 5 minutes in the late afternoon."
12,2010/01/03,I spent 26 minutes reading a book today.,I spent 26 minutes reading a book today.
13,2010/01/04,I did swimming on 2010/01/04.,I did swimming on 2010/01/04.
14,2010/01/04,"I had eggs, sausages, and bread for breakfast with Piper, Avery, Claire, Piper, Nora, Rylee, Eva, Nevaeh, Lydia, Kinsley","I had eggs, sausages, and bread for breakfast with Piper, Avery, Claire, Piper, Nora, Rylee, Eva, Nevaeh, Lydia, Kinsley"
15,2010/01/04,I prepare tacos for lunch.,I prepare tacos for lunch.
16,2010/01/04,I ate tacos for dinner.,I ate tacos for dinner.
17,2010/01/04,I spent 29 minutes reading news today.,I spent 29 minutes reading news today.
18,2010/01/05,I went on a date with Elena on 2010/01/05 at a restaurant,I went on a date with Elena on 2010/01/05 at a restaurant
19,2010/01/05,I really enjoyed meditation on 2010/01/05,I really enjoyed meditation on 2010/01/05
20,2010/01/05,I had breakfast with Kinsley. I ate toast and cheese.,I had breakfast with Kinsley. I ate toast and cheese.
21,2010/01/05,I had dinner. I ate steak.,I had dinner. I ate steak.
22,2010/01/05,"I spent 22 talking to Rylee, Lydia on various topics in the early afternoon.","I spent 22 talking to Rylee, Lydia on various topics in the early afternoon."
23,2010/01/05,"I spent 29 talking to Nora, Nevaeh on various topics in the early afternoon.","I spent 29 talking to Nora, Nevaeh on various topics in the early afternoon."
24,2010/01/06,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
25,2010/01/06,"I spent 49 talking to Claire, Rylee, Nevaeh, Kinsley on various topics late in the evening.","I spent 49 talking to Claire, Rylee, Nevaeh, Kinsley on various topics late in the evening."
26,2010/01/07,"I had a burger for dinner with Piper, Claire, Hazel, Nevaeh, Olivia, Lydia, Eva, Kinsley, Rylee, Avery, Nora, Layla, Piper","I had a burger for dinner with Piper, Claire, Hazel, Nevaeh, Olivia, Lydia, Eva, Kinsley, Rylee, Avery, Nora, Layla, Piper"
27,2010/01/07,"I spent 48 talking to Layla, Piper, Eva on various topics during lunch hours.","I spent 48 talking to Layla, Piper, Eva on various topics during lunch hours."
28,2010/01/08,I prepare indian food for lunch.,I prepare indian food for lunch.
29,2010/01/08,I prepare fish and chips for dinner.,I prepare fish and chips for dinner.
30,2010/01/08,"I talked to Avery, Rylee for 33 minutes late in the evening.","I talked to Avery, Rylee for 33 minutes late in the evening."
31,2010/01/08,I talked to Nora for 26 minutes during lunch hours.,I talked to Nora for 26 minutes during lunch hours.
32,2010/01/08,I spent 7 minutes reading news today.,I spent 7 minutes reading news today.
33,2010/01/09,I had dinner. I ate sushi.,I had dinner. I ate sushi.
34,2010/01/09,"I spent 13 talking to Nevaeh, Eva on various topics in the morning.","I spent 13 talking to Nevaeh, Eva on various topics in the morning."
35,2010/01/09,I spent 40 minutes reading social media today.,I spent 40 minutes reading social media today.
36,2010/01/09,I spent 27 minutes watching a documentary on TV today.,I spent 27 minutes watching a documentary on TV today.
37,2010/01/10,"On 2010/01/10, I took Charlotte on a date to a park","On 2010/01/10, I took Charlotte on a date to a park"
38,2010/01/10,I did HIIT on 2010/01/10.,I did HIIT on 2010/01/10.
39,2010/01/10,I spent 51 minutes reading a book today.,I spent 51 minutes reading a book today.
40,2010/01/10,I watched news for 16 minutes on TV today.,I watched news for 16 minutes on TV today.
41,2010/01/11,I did swimming on 2010/01/11.,I did swimming on 2010/01/11.
42,2010/01/11,"I had breakfast with Lydia, Avery, Rylee. I ate eggs, sausages, and bread.","I had breakfast with Lydia, Avery, Rylee. I ate eggs, sausages, and bread."
43,2010/01/11,I prepare sandwich for lunch.,I prepare sandwich for lunch.
44,2010/01/12,I prepare toast and cheese for breakfast.,I prepare toast and cheese for breakfast.
45,2010/01/12,I ate fish and chips for dinner.,I ate fish and chips for dinner.
46,2010/01/12,"I talked to Layla, Claire for 35 minutes in the early afternoon.","I talked to Layla, Claire for 35 minutes in the early afternoon."
47,2010/01/12,I spent 11 minutes watching a movie on TV today.,I spent 11 minutes watching a movie on TV today.
48,2010/01/13,"I had breakfast with Willow, Benjamin, Jackson, Avery. I ate pancakes.","I had breakfast with Willow, Benjamin, Jackson, Avery. I ate pancakes."
49,2010/01/13,I had sushi for lunch with Andrew,I had sushi for lunch with Andrew
50,2010/01/13,"I spent 42 talking to Piper, Piper, Rylee on various topics in the early evening.","I spent 42 talking to Piper, Piper, Rylee on various topics in the early evening."
51,2010/01/13,I spent 37 minutes on a book today.,I spent 37 minutes on a book today.
52,2010/01/13,I watched a movie for 49 minutes on TV today.,I watched a movie for 49 minutes on TV today.
53,2010/01/14,I spent some time yoga on 2010/01/14.,I spent some time yoga on 2010/01/14.
54,2010/01/14,"I bought some watermelons, apples, tea, sports drinks, pineapple juice, paper towel, body lotion, shaving cream, conditioner online.","I bought some watermelons, apples, tea, sports drinks, pineapple juice, paper towel, body lotion, shaving cream, conditioner online."
55,2010/01/14,I had lunch. I ate a burger.,I had lunch. I ate a burger.
56,2010/01/14,I ate sandwich for dinner.,I ate sandwich for dinner.
57,2010/01/14,I spent 21 minutes on news today.,I spent 21 minutes on news today.
58,2010/01/15,I did swimming on 2010/01/15.,I did swimming on 2010/01/15.
59,2010/01/15,"I talked to Piper, Kinsley, Hazel for 8 minutes during lunch hours.","I talked to Piper, Kinsley, Hazel for 8 minutes during lunch hours."
60,2010/01/16,"I bought some blackberries, clementines, guava, nectarines, tea, toothbrush from the grocery store. I saw Avery at the grocery store.","I bought some blackberries, clementines, guava, nectarines, tea, toothbrush from the grocery store. I saw Avery at the grocery store."
61,2010/01/16,"I talked to Eva, Claire, Lydia for 36 minutes in the early afternoon.","I talked to Eva, Claire, Lydia for 36 minutes in the early afternoon."
62,2010/01/17,I did hiking on 2010/01/17.,I did hiking on 2010/01/17.
63,2010/01/17,"I spent 44 talking to Rylee, Olivia on various topics in the early evening.","I spent 44 talking to Rylee, Olivia on various topics in the early evening."
64,2010/01/17,"I spent 17 talking to Piper, Olivia on various topics in the early evening.","I spent 17 talking to Piper, Olivia on various topics in the early evening."
65,2010/01/17,I watched news for 47 minutes on TV today.,I watched news for 47 minutes on TV today.
66,2010/01/18,I took my parents for their for an annual dental cleaning and checkup on 2010/01/18 at the university hospital.,I took my parents for their for an annual dental cleaning and checkup on 2010/01/18 at the university hospital.
67,2010/01/18,I ate steak for dinner.,I ate steak for dinner.
68,2010/01/18,"I talked to Claire, Nevaeh, Nora for 39 minutes during lunch hours.","I talked to Claire, Nevaeh, Nora for 39 minutes during lunch hours."
69,2010/01/18,I spent 16 minutes on a book today.,I spent 16 minutes on a book today.
70,2010/01/19,I did swimming on 2010/01/19.,I did swimming on 2010/01/19.
71,2010/01/19,I prepare pancakes for breakfast.,I prepare pancakes for breakfast.
72,2010/01/19,"I spent 26 talking to Layla, Piper, Claire, Olivia on various topics in the morning.","I spent 26 talking to Layla, Piper, Claire, Olivia on various topics in the morning."
73,2010/01/19,"I spent 20 talking to Lydia, Layla on various topics in the late afternoon.","I spent 20 talking to Lydia, Layla on various topics in the late afternoon."
74,2010/01/19,I spent 49 minutes reading news today.,I spent 49 minutes reading news today.
75,2010/01/20,"I had breakfast with Nora, Lydia, Piper, Layla, Rylee, Avery, Kinsley, Eva, Claire, Hazel, Piper, Olivia. I ate peanut-butter-jam.","I had breakfast with Nora, Lydia, Piper, Layla, Rylee, Avery, Kinsley, Eva, Claire, Hazel, Piper, Olivia. I ate peanut-butter-jam."
76,2010/01/20,"I had lunch with Andrew, Emily, Kayden. I ate a burger.","I had lunch with Andrew, Emily, Kayden. I ate a burger."
77,2010/01/20,"I had sushi for dinner with Benjamin, Willow, Avery, Jackson","I had sushi for dinner with Benjamin, Willow, Avery, Jackson"
