q_id,query,params,question,datafiles,answer_column
q1,"select avg(num) from (select a.year, (case when b.num>=0 then b.num else a.num end) as num from (select distinct year, 0 as num from df) a left outer join (select year, count(*) as num from df where type_of_care = 'annual vision checkup' and for_whom = 'child_medical_care' group by year) b on a.year = b.year)","{""for_whom"": ""child_medical_care"", ""type_of_care"": ""annual vision checkup""}",What is the average number of times I took my kids for their vision checkup each year? ,annual_medical_care-log.csv,1
q2,select count(*) from df where type_of_care = 'annual vision checkup' and for_whom = 'child_medical_care' and year = '2010',"{""year"": 2010, ""type_of_care"": ""annual vision checkup"", ""for_whom"": ""child_medical_care""}",How many times did I take my kids to an optician in 2010?,annual_medical_care-log.csv,1
q3,select count(*) from df where type_of_care like '%dental%' and for_whom = 'child_medical_care' and year = '2014',"{""year"": 2014, ""type_of_care"": ""annual dental cleaning and checkup"", ""for_whom"": ""child_medical_care""}",How many times did I take my kids to the dentist in 2014?,annual_medical_care-log.csv,1
q4,"select friends, max(length) from (select friends, sum(howlong) as length from (select friends, howlong from df1 where year = '2018' and month = '4') as a group by friends) as b","{""year"": 2018, ""month"": 4}",Who did I chat with the most in April 2018?,daily_chat-log.csv,1
q5,"select avg(length) from (select date, sum(howlong) as length from df group by date) as a",{},"On average, how long did I spend talking to my friends everyday?",daily_chat-log.csv,1
q6,select count(*) from df1 where friends = 'Olivia' and year = '2013' and month = '6',"{""friends"": ""Olivia"", ""year"": 2013, ""month"": 6}",How many times did I chat with Olivia in June 2013?,daily_chat-log.csv,1
q7,"select exercise, max(num) from (select exercise, count(*) as num from df where month = '7' and year = '2011' group by exercise) as a","{""month"": 7, ""year"": 2011}",What type of exercise did I do the most in July 2011?,daily_exercise-log.csv,1
q8,select count(*) from df where exercise = 'biking' and month = '12' and year = '2020',"{""exercise"": ""biking"", ""month"": 12, ""year"": 2020}",How many times did I go biking in December 2020?,daily_exercise-log.csv,1
q9,"select year, month, max(num) from (select year, month, count(exercise) as num from df where exercise = 'biking' group by year, month) as a","{""exercise"": ""biking""}",Which month of which year did I bike the most?,daily_exercise-log.csv,"1,2"
q10,select distinct foodtype from df1 where mealtype = 'lunch' and people_string = 'Eva' and month = '10' and year = '2013',"{""mealtype"": ""lunch"", ""people_string"": ""Eva"", ""month"": 10, ""year"": 2013}",List all the lunch dishes that Eva had in October of 2013.,daily_meal-log.csv,1
q11,select count(*) from df where mealtype = 'dinner' and foodtype = 'indian food' and month = '1' and year = '2014',"{""mealtype"": ""dinner"", ""foodtype"": ""indian food"", ""month"": 1, ""year"": 2014}",How many times did I have Indian food for dinner in January 2014?,daily_meal-log.csv,1
q12,"select avg(howlong) from (select a.date, (case when b.howlong>=0 then b.howlong else a.howlong end) as howlong from (select distinct date, 0 as howlong from df) a left outer join (select date, howlong from df where readtype='news') b on a.date = b.date)","{""readtype"": ""news""}",How much time on average did I spend on reading the news each day?,daily_read-log.csv,1
q13,select count(*) from df where year='2011' and readtype='social media',"{""year"": 2011, ""readtype"": ""social media""}",How many times did I go on social media in 2011?,daily_read-log.csv,1
q14,select count(*) from df where watchtype='a movie' and cast(year as int)>=2015,"{""watchtype"": ""a movie"", ""year"": 2015}",How many movies did I watched in total since 2015?,daily_watchtv-log.csv,1
q15,"select year, max(num) from (select year, count(*) as num from df where watchtype='news' group by year)","{""watchtype"": ""news""}",In which year did I watch the most news?,daily_watchtv-log.csv,1
q16,select count(*) from df where cuisine like '%chocolate chip cookie in a mug%' and cast(year as int)>2017,"{""cuisine"": ""chocolate chip cookie in a mug"", ""year"": 2017}",How many times did I make chocolate chip cookie in a mug after 2017?,weekly_bakeorcook-log.csv,1
q17,"select cuisine, max(num) from (select cuisine, count(*) as num from df1 group by cuisine)",{},What do I bake or cook the most often?,weekly_bakeorcook-log.csv,1
q18,select cast(count(cuisine) as float)/31 as avg from (select cuisine from df1 where month = '11' and year = '2021'),"{""year"": 2021, ""month"": 11}",How many dishes on average did I make on a daily basis in November 2021?,weekly_bakeorcook-log.csv,1
q19,select count(*) from df where year = '2020',"{""year"": 2020}",How many times did I go grocery shopping in 2020?,weekly_grocery-log.csv,1
