,Unnamed: 0,time,book_name,img_url,id
0,0,2019-04-19T04:37:00,I Am a Strange Loop,https://img1.od-cdn.com/ImageType-100/0887-1/{A6AA81F6-9242-4793-8AB0-A5C8B5DBDB66}Img100.jpg,books_26
1,1,2019-04-17T04:50:00,I Am a Strange Loop,https://img1.od-cdn.com/ImageType-100/0887-1/{A6AA81F6-9242-4793-8AB0-A5C8B5DBDB66}Img100.jpg,books_27
2,2,2019-04-15T03:54:00,War and Peace,https://img1.od-cdn.com/ImageType-100/0887-1/{97ABE6CD-7D83-475B-8278-210FB71B35DC}IMG100.JPG,books_28
3,3,2019-04-05T19:23:00,War and Peace,https://img1.od-cdn.com/ImageType-100/0887-1/{97ABE6CD-7D83-475B-8278-210FB71B35DC}IMG100.JPG,books_29
4,4,2019-04-05T16:26:00,War and Peace,https://img1.od-cdn.com/ImageType-100/0887-1/{97ABE6CD-7D83-475B-8278-210FB71B35DC}IMG100.JPG,books_30
5,5,2019-03-28T15:06:00,The Culture Map,https://img1.od-cdn.com/ImageType-100/1088-1/{19D66D38-7086-4689-A5CE-A63649FEEF96}Img100.jpg,books_31
6,6,2019-03-23T05:02:00,The Culture Map,https://img1.od-cdn.com/ImageType-100/1088-1/{19D66D38-7086-4689-A5CE-A63649FEEF96}Img100.jpg,books_32
7,7,2019-03-14T16:26:00,War and Peace,https://img1.od-cdn.com/ImageType-100/0887-1/{97ABE6CD-7D83-475B-8278-210FB71B35DC}IMG100.JPG,books_33
8,8,2019-03-14T16:22:00,Neuromancer,https://img1.od-cdn.com/ImageType-100/1191-1/{7BA87BED-B3A1-4AD0-998A-CC84D7F542DA}Img100.jpg,books_34
9,9,2019-03-03T23:17:00,Horse,https://img1.od-cdn.com/ImageType-100/1191-1/{C907B706-54A2-42AA-B199-16923A150BC4}Img100.jpg,books_35
10,10,2019-03-03T23:16:00,Exhalation,https://img1.od-cdn.com/ImageType-100/1191-1/{BBA7984E-7A18-4ADF-A1D5-FA1BE72BD5AA}Img100.jpg,books_36
11,11,2019-04-30T16:51:00,Neuromancer,https://img1.od-cdn.com/ImageType-100/1191-1/{7BA87BED-B3A1-4AD0-998A-CC84D7F542DA}Img100.jpg,books_37
12,12,2019-04-28T04:25:00,Exhalation,https://img1.od-cdn.com/ImageType-100/1191-1/{BBA7984E-7A18-4ADF-A1D5-FA1BE72BD5AA}Img100.jpg,books_38
13,13,2019-04-27T13:27:00,Give and Take,https://img1.od-cdn.com/ImageType-100/1191-1/{D4B1BE9F-E613-4495-9EC6-4380FBBCDC91}Img100.jpg,books_39
14,14,2019-04-18T11:22:00,Hallucinations,https://img1.od-cdn.com/ImageType-100/1191-1/{84AE575E-576F-4590-A6E6-8460DE966A95}Img100.jpg,books_40
15,15,2019-04-16T00:11:00,Horse,https://img1.od-cdn.com/ImageType-100/1191-1/{C907B706-54A2-42AA-B199-16923A150BC4}Img100.jpg,books_41
16,16,2019-04-13T23:11:00,Think Again,https://img1.od-cdn.com/ImageType-100/1191-1/{E53B8C11-8116-46D4-9930-66B3A1F970EB}Img100.jpg,books_42
17,17,2019-04-10T02:24:00,Give and Take,https://img1.od-cdn.com/ImageType-100/1191-1/{D4B1BE9F-E613-4495-9EC6-4380FBBCDC91}Img100.jpg,books_43
18,18,2019-04-10T02:23:00,Into the Magic Shop,https://img1.od-cdn.com/ImageType-100/0887-1/{3FD140F9-B7BE-42CF-AF9C-1D1E95503B30}Img100.jpg,books_44
19,19,2019-04-06T14:35:00,Good Anxiety,https://img1.od-cdn.com/ImageType-100/5054-1/{B38EC863-9C53-4816-B0A3-70960F5EE87E}Img100.jpg,books_45
20,20,2019-04-05T23:52:00,Hallucinations,https://img1.od-cdn.com/ImageType-100/1191-1/{84AE575E-576F-4590-A6E6-8460DE966A95}Img100.jpg,books_46
21,21,2019-04-05T23:51:00,Think Again,https://img1.od-cdn.com/ImageType-100/1191-1/{E53B8C11-8116-46D4-9930-66B3A1F970EB}Img100.jpg,books_47
22,22,2019-04-04T03:49:00,Neuromancer,https://img1.od-cdn.com/ImageType-100/1191-1/{7BA87BED-B3A1-4AD0-998A-CC84D7F542DA}Img100.jpg,books_48
23,23,2019-04-03T20:17:00,Into the Magic Shop,https://img1.od-cdn.com/ImageType-100/0887-1/{3FD140F9-B7BE-42CF-AF9C-1D1E95503B30}Img100.jpg,books_49
24,24,2019-04-03T04:23:00,"Healthy Brain, Happy Life",https://img1.od-cdn.com/ImageType-100/0293-1/{C964EFD7-0622-43C1-BFEC-42DB9C82A827}Img100.jpg,books_50
25,25,2019-04-03T04:23:00,Good Anxiety,https://img1.od-cdn.com/ImageType-100/5054-1/{B38EC863-9C53-4816-B0A3-70960F5EE87E}Img100.jpg,books_51
26,26,2019-03-29T20:50:00,Year of Wonders,https://img1.od-cdn.com/ImageType-100/0887-1/{C231E269-04B3-46AA-9410-49493BE8415E}Img100.jpg,books_52
27,27,2019-03-28T04:08:00,"Healthy Brain, Happy Life",https://img1.od-cdn.com/ImageType-100/0293-1/{C964EFD7-0622-43C1-BFEC-42DB9C82A827}Img100.jpg,books_53
28,28,2019-03-24T20:24:00,Year of Wonders,https://img1.od-cdn.com/ImageType-100/0887-1/{C231E269-04B3-46AA-9410-49493BE8415E}Img100.jpg,books_54
29,29,2019-03-24T20:22:00,Horse,https://img1.od-cdn.com/ImageType-100/1191-1/{C907B706-54A2-42AA-B199-16923A150BC4}Img100.jpg,books_55
30,30,2019-03-24T20:19:00,Hallucinations,https://img1.od-cdn.com/ImageType-100/1191-1/{84AE575E-576F-4590-A6E6-8460DE966A95}Img100.jpg,books_56
31,31,2019-03-24T20:15:00,The River of Consciousness,https://img1.od-cdn.com/ImageType-100/1191-1/{0FA8ED18-A311-4DDB-A67C-2EAAB5AD90EE}Img100.jpg,books_57
32,32,2019-03-23T14:26:00,The River of Consciousness,https://img1.od-cdn.com/ImageType-100/1191-1/{0FA8ED18-A311-4DDB-A67C-2EAAB5AD90EE}Img100.jpg,books_58
33,33,2019-03-23T14:25:00,Originals,https://img1.od-cdn.com/ImageType-100/1191-1/{659784EB-40E0-4061-904D-17606BAD9980}Img100.jpg,books_59
34,34,2019-03-23T14:24:00,The River of Consciousness,https://img1.od-cdn.com/ImageType-100/1191-1/{0FA8ED18-A311-4DDB-A67C-2EAAB5AD90EE}Img100.jpg,books_60
35,35,2019-03-23T14:23:00,The River of Consciousness,https://img1.od-cdn.com/ImageType-100/1191-1/{0FA8ED18-A311-4DDB-A67C-2EAAB5AD90EE}Img100.jpg,books_61
36,36,2019-03-20T23:47:00,Originals,https://img1.od-cdn.com/ImageType-100/1191-1/{659784EB-40E0-4061-904D-17606BAD9980}Img100.jpg,books_62
37,37,2019-03-20T23:46:00,Give and Take,https://img1.od-cdn.com/ImageType-100/1191-1/{D4B1BE9F-E613-4495-9EC6-4380FBBCDC91}Img100.jpg,books_63
38,38,2019-03-20T23:46:00,Think Again,https://img1.od-cdn.com/ImageType-100/1191-1/{E53B8C11-8116-46D4-9930-66B3A1F970EB}Img100.jpg,books_64
39,39,2019-03-20T00:21:00,Stories of Your Life and Others,https://img1.od-cdn.com/ImageType-100/1219-1/{E5634854-4A0C-4971-95FB-9C38A1A8C2DE}Img100.jpg,books_65
40,40,2019-03-20T00:20:00,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",https://img1.od-cdn.com/ImageType-100/6852-1/{B1E07D01-EFD7-4767-88E7-5DE22657FE51}IMG100.JPG,books_66
41,41,2019-03-16T22:10:00,Stories of Your Life and Others,https://img1.od-cdn.com/ImageType-100/1219-1/{E5634854-4A0C-4971-95FB-9C38A1A8C2DE}Img100.jpg,books_67
42,42,2019-03-16T22:09:00,Einstein,https://img1.od-cdn.com/ImageType-100/5054-1/{82F07E3E-0184-4FD8-AE8D-7C359F454586}Img100.jpg,books_68
43,43,2019-03-11T15:40:00,How to Win Friends & Influence People in the Digital Age,https://img1.od-cdn.com/ImageType-100/1294-1/{6FE70C4B-92E2-43A3-82CE-C44565A042A3}Img100.jpg,books_69
44,44,2019-03-11T00:07:00,The Culture Map,https://img1.od-cdn.com/ImageType-100/1088-1/{19D66D38-7086-4689-A5CE-A63649FEEF96}Img100.jpg,books_70
45,45,2019-03-05T17:07:00,Einstein,https://img1.od-cdn.com/ImageType-100/5054-1/{82F07E3E-0184-4FD8-AE8D-7C359F454586}Img100.jpg,books_71
