eid,date,cuisine,location,people
e2522,2014/02/02,"easy chocolate marshmallow cups, chocolate-chip mug brownie, birthday cupcakes with white wine buttercream",my place,"Andrew, Kayden, Carter, Emily"
e2524,2014/02/05,"brownies, chocolate chip cookie in a mug, cinnamon sheet cake with cider frosting",my place,Willow
e2527,2014/02/21,fig tarte tatin,my place,Piper
e2538,2014/04/05,"chinese broccoli with oyster sauce, crockpot spareribs",my place,Andrew
e2539,2014/04/03,"dessert nachos, gluten-free apple rose tart",my place,"Jackson, Benjamin, Avery"
e2550,2014/06/08,"blackberry jam pie-crust straws, cinnamon sheet cake with cider frosting",my place,"Carter, Andrew"
e2559,2014/07/11,turkey shepherd’s pie,my place,"Benjamin, Willow"
e2569,2014/08/31,"au gratin peas and potatoes, vietnamese coffee",my place,"Andrew, Emily, Carter, Kayden"
e2587,2014/12/10,asian slaw,my place,"Avery, Benjamin"
e3222,2015/11/19,"gluten-free apple rose tart, fig tarte tatin, birthday cupcakes with white wine buttercream",my place,"Piper, Olivia, Kinsley, Hazel"
e3829,2016/01/28,"cinnamon sheet cake with cider frosting, cranberry apple danish, giant cinnamon roll",my place,"Andrew, Carter, Emily"
e3834,2016/02/01,"peanut butter cookies, blackberry jam pie-crust straws, easy chocolate marshmallow cups",my place,Avery
e3848,2016/03/30,contest-winning broccoli chicken casserole,my place,"Andrew, Emily, Carter"
e3851,2016/04/28,hamburger stroganoff,my place,"Rylee, Claire"
e3854,2016/05/05,"cream-filled bundt cake, easy cherry skillet cake",my place,"Andrew, Kayden, Emily, Carter"
e3861,2016/06/02,"cream-filled bundt cake, brownies, chocolate skillet cake",my place,"Lydia, Claire, Rylee, Piper"
e3869,2016/07/17,"asian slaw, thai noodle salad, thai green curry paste",my place,"Nora, Layla, Rylee"
e3877,2016/08/28,"cube steak and gravy, scallion pancake, gado gado",my place,"Nora, Hazel, Layla"
e3881,2016/09/19,chrissy teigen’s 3-ingredient chocolate mousse,my place,"Kayden, Emily, Andrew"
e3893,2016/11/16,"lemon meringue cookies, blackberry-raspberry skillet cobbler, chocolate skillet cake",my place,"Carter, Emily, Andrew"
e4474,2017/01/25,"au gratin peas and potatoes, air-fryer brats, wonton soup",my place,"Carter, Emily, Andrew, Kayden"
e4478,2017/01/30,so-easy sloppy joes,my place,"Carter, Kayden"
e4480,2017/02/17,"carrot cake, chocolate-chip mug brownie",my place,Emily
e4497,2017/06/22,"easy cherry skillet cake, lemon meringue cookies",my place,"Willow, Jackson, Benjamin"
e4498,2017/07/06,"chocolate chip cookie in a mug, easy cherry skillet cake",my place,Willow
e4513,2017/09/08,"peanut butter cookies, giant cinnamon roll, pistachio oat squares",my place,Emily
e4528,2017/11/16,contest-winning broccoli chicken casserole,my place,"Kayden, Andrew, Carter, Emily"
e4533,2017/12/07,"vegan sugar cookies, lemon meringue cookies, birthday cupcakes with white wine buttercream",my place,"Andrew, Emily, Kayden, Carter"
e5123,2018/02/24,"swedish meatball recipe, chicken cordon bleu skillet",my place,Andrew
e5139,2018/05/02,"broccoli-stuffed chicken, lo mein, gado gado",my place,"Carter, Andrew"
e5143,2018/05/27,blackberry-raspberry skillet cobbler,my place,Lydia
e5153,2018/07/04,"peanut butter cookies, chocolate chip cookie in a mug, carrot cake",my place,"Jackson, Willow, Benjamin"
e5168,2018/09/08,"chinese vegetable stir-fry, vietnamese coffee, cube steak and gravy",my place,"Eva, Piper"
e5746,2019/01/20,chocolate skillet cake,my place,"Emily, Andrew, Carter"
e5748,2019/02/11,"indian red lentil, air-fryer brats",my place,"Emily, Carter, Andrew"
e5761,2019/03/30,"blackberry-raspberry skillet cobbler, cheater’s mini rhubarb galettes, chocolate skillet cake",my place,"Carter, Kayden"
e5763,2019/04/15,fig tarte tatin,my place,"Benjamin, Jackson, Avery, Willow"
e5774,2019/06/17,asian slaw,my place,Piper
e5777,2019/06/29,"chinese chicken wings, thai noodle salad, split pea soup with ham & jalapeno",my place,"Kayden, Carter"
e5799,2019/10/06,"gluten-free apple rose tart, chocolate chip cookie in a mug, homemade toaster pastries",my place,"Nevaeh, Layla"
e5809,2019/11/16,"swedish meatball recipe, scallion pancake, chicken parmesan spaghetti",my place,"Claire, Piper, Lydia"
e5810,2019/11/18,"blackberry-raspberry skillet cobbler, giant cinnamon roll, birthday cupcakes with white wine buttercream",my place,Kayden
e6485,2020/11/03,"cheesy ham chowder, chinese broccoli with oyster sauce, shrimp quesadilla",my place,"Claire, Olivia"
e7084,2021/03/19,poke,my place,"Andrew, Emily"
e7128,2021/11/14,"cube steak and gravy, poke",my place,Kayden
e7134,2021/12/12,"carrot cake, chocolate skillet cake, cranberry apple danish",my place,"Avery, Olivia, Kinsley"
e7746,2022/05/01,brownies,my place,Eva
e7754,2022/06/23,lemon meringue cookies,my place,"Kayden, Carter"
e7769,2022/08/22,cinnamon sheet cake with cider frosting,my place,"Carter, Andrew, Kayden, Emily"
e7786,2022/11/28,"cream-filled bundt cake, chocolate-chip mug brownie",my place,"Kayden, Emily"
e7788,2022/12/05,"brownies, chocolate chip cookie in a mug, fig tarte tatin",my place,"Eva, Olivia, Kinsley"
