eid,start_date,end_date,city,people
e7710,2022/02/22,2022/02/28,"Shanghai, China","Emily, Carter"
e7048,2021/02/07,2021/02/19,"Dubai, UAE","Emily, Carter"
e6408,2020/05/02,2020/05/12,"Miami, US","Emily, Andrew"
e5724,2019/03/19,2019/03/27,"Rio, Brazil","Eva, Olivia"
e5095,2018/02/09,2018/02/22,"Bangkok, Thailand","Kayden, Carter, Emily"
e4449,2017/03/05,2017/03/16,"Paris, France","Andrew, Emily"
e3805,2016/05/07,2016/05/20,"London, UK",Andrew
e3151,2015/03/03,2015/03/15,"Shanghai, China",Benjamin
e2506,2014/01/23,2014/01/29,"Sydney, Australia","Emily, Carter, Andrew"
e1867,2013/02/06,2013/02/19,"Philadelphia, US","Emily, Carter"
e1231,2012/03/02,2012/03/17,"Bangkok, Thailand",Andrew
e593,2011/05/08,2011/05/22,"London, UK","Benjamin, Avery"
e1,2010/02/12,2010/02/18,"Philadelphia, US","Carter, Kayden"
