eid,date,people_string,location
e16,2010/01/02,Leah,a boba shop
e18,2010/01/14,Mila,a park
e20,2010/02/02,Noah,a boba shop
e22,2010/02/09,Nora,a park
e23,2010/02/20,Daniel,a coffee Shop
e24,2010/03/06,Grace,a coffee Shop
e25,2010/03/09,Colton,a coffee Shop
e27,2010/03/15,Carson,a park
e29,2010/03/20,Jade,a boba shop
e38,2010/06/13,Isabella,a park
e43,2010/06/29,James,a boba shop
e44,2010/07/04,Richard,a boba shop
e45,2010/07/08,Jayden,a restaurant
e54,2010/08/13,Elias,a park
e55,2010/08/18,Aria,a boba shop
e57,2010/08/23,Athena,a boba shop
e58,2010/09/03,Skylar,a boba shop
e64,2010/10/27,Leonardo,a coffee Shop
e65,2010/10/31,Aaliyah,a coffee Shop
e68,2010/11/20,Anthony,a coffee Shop
e70,2010/12/05,Ava,a park
e73,2010/12/12,Henry,a restaurant
e75,2010/12/20,Jace,a restaurant
e619,2011/02/05,Paisley,a coffee Shop
e620,2011/02/15,Marzieh,a restaurant
e626,2011/03/11,Peyton,a coffee Shop
e630,2011/04/01,Eleanor,a restaurant
e633,2011/04/15,Hannah,a park
e640,2011/05/12,Silas,a boba shop
e642,2011/05/15,Isla,a coffee Shop
e643,2011/05/17,Gianna,a park
e645,2011/06/06,Lillian,a restaurant
e649,2011/06/25,Angel,a park
e650,2011/07/01,Isabella,a park
e657,2011/08/10,Cameron,a park
e659,2011/08/13,Angel,a coffee Shop
e661,2011/08/24,Isabella,a coffee Shop
e664,2011/09/04,Noah,a boba shop
e666,2011/09/13,Aurora,a boba shop
e671,2011/10/15,Isabella,a coffee Shop
e679,2011/11/16,Greyson,a restaurant
e683,2011/12/05,Nathan,a park
e685,2011/12/13,Everett,a boba shop
e1251,2012/01/13,Austin,a park
e1253,2012/01/24,Asher,a boba shop
e1254,2012/01/26,Lincoln,a coffee Shop
e1256,2012/02/06,Aaron,a boba shop
e1257,2012/02/15,James,a park
e1260,2012/02/22,Christophe,a restaurant
e1264,2012/03/08,Avery,a coffee Shop
e1265,2012/03/16,Leah,a boba shop
e1266,2012/03/24,Piper,a park
e1270,2012/04/10,Connor,a park
e1273,2012/04/28,Scarlett,a restaurant
e1275,2012/05/08,Elijah,a restaurant
e1277,2012/05/13,Ellie,a coffee Shop
e1278,2012/05/18,Dylan,a park
e1280,2012/05/28,Maya,a boba shop
e1284,2012/06/28,Audrey,a coffee Shop
e1286,2012/07/02,David,a boba shop
e1291,2012/07/21,Genesis,a restaurant
e1303,2012/10/11,Everleigh,a restaurant
e1305,2012/10/17,Olivia,a restaurant
e1310,2012/11/30,Ethan,a restaurant
e1314,2012/12/19,Hunter,a park
e1888,2013/01/20,Leo,a park
e1890,2013/01/27,Caleb,a coffee Shop
e1894,2013/02/18,Chloe,a park
e1897,2013/03/24,Savannah,a park
e1899,2013/03/29,Eli,a restaurant
e1905,2013/05/06,Jaxson,a restaurant
e1907,2013/05/08,Liam,a restaurant
e1908,2013/05/10,Sadie,a coffee Shop
e1911,2013/06/03,Alon,a park
e1914,2013/06/07,Bella,a park
e1916,2013/06/28,Lydia,a restaurant
e1918,2013/07/02,Jackson,a boba shop
e1920,2013/07/13,Lydia,a park
e1923,2013/07/20,Savannah,a restaurant
