eid,date,readtype,howlong
e209,2010/01/01,a book,40
e218,2010/01/02,a book,27
e227,2010/01/03,a book,31
e237,2010/01/04,a book,42
e245,2010/01/05,a book,44
e252,2010/01/06,news,36
e259,2010/01/07,a book,54
e268,2010/01/08,news,37
e277,2010/01/09,a book,38
e286,2010/01/10,news,29
e295,2010/01/11,a book,19
e303,2010/01/12,social media,18
e310,2010/01/13,social media,14
e319,2010/01/14,news,43
e327,2010/01/15,news,10
e336,2010/01/16,social media,54
e344,2010/01/17,social media,54
e353,2010/01/18,a book,10
e361,2010/01/19,news,47
e369,2010/01/20,news,48
e378,2010/01/21,a book,10
e387,2010/01/22,social media,23
e395,2010/01/23,a book,31
e403,2010/01/24,a book,42
e412,2010/01/25,news,51
e419,2010/01/26,news,39
e428,2010/01/27,news,52
e437,2010/01/28,a book,9
e447,2010/01/29,social media,23
e456,2010/01/30,a book,14
e464,2010/01/31,social media,11
e471,2010/02/01,a book,36
e481,2010/02/02,a book,49
e490,2010/02/03,social media,11
e498,2010/02/04,social media,48
e506,2010/02/05,social media,54
e515,2010/02/06,a book,31
e522,2010/02/07,social media,16
e530,2010/02/08,news,22
e538,2010/02/09,news,49
e545,2010/02/10,news,54
e554,2010/02/11,news,38
e561,2010/02/12,social media,33
e569,2010/02/13,news,32
e577,2010/02/14,social media,20
e585,2010/02/15,news,46
e592,2010/02/16,a book,37
e600,2010/02/17,a book,11
e608,2010/02/18,social media,17
e617,2010/02/19,a book,40
e626,2010/02/20,social media,46
e635,2010/02/21,social media,23
e644,2010/02/22,social media,28
e653,2010/02/23,news,50
e663,2010/02/24,news,42
e671,2010/02/25,news,5
e679,2010/02/26,social media,26
e689,2010/02/27,news,50
e698,2010/02/28,social media,44
e705,2010/03/01,a book,12
e713,2010/03/02,news,31
e722,2010/03/03,social media,36
e731,2010/03/04,news,32
e740,2010/03/05,social media,33
e749,2010/03/06,a book,7
e758,2010/03/07,news,42
e765,2010/03/08,news,43
e774,2010/03/09,social media,39
e784,2010/03/10,news,47
e792,2010/03/11,social media,8
e801,2010/03/12,a book,38
e810,2010/03/13,news,54
e819,2010/03/14,a book,24
e826,2010/03/15,social media,36
e832,2010/03/16,news,45
e842,2010/03/17,a book,32
e850,2010/03/18,news,25
e858,2010/03/19,a book,49
e867,2010/03/20,news,38
e876,2010/03/21,social media,11
e884,2010/03/22,social media,42
e894,2010/03/23,news,11
e902,2010/03/24,social media,46
e910,2010/03/25,news,10
e919,2010/03/26,news,41
e929,2010/03/27,news,39
e938,2010/03/28,a book,24
e946,2010/03/29,a book,26
e955,2010/03/30,social media,51
e963,2010/03/31,a book,30
e973,2010/04/01,social media,40
e981,2010/04/02,social media,16
e989,2010/04/03,news,30
e997,2010/04/04,news,16
e1007,2010/04/05,a book,47
e1016,2010/04/06,news,18
e1025,2010/04/07,news,10
e1034,2010/04/08,social media,55
e1043,2010/04/09,a book,47
e1051,2010/04/10,social media,24
e1059,2010/04/11,a book,34
e1068,2010/04/12,social media,37
e1077,2010/04/13,a book,14
e1086,2010/04/14,news,27
e1093,2010/04/15,a book,16
e1100,2010/04/16,a book,38
e1109,2010/04/17,a book,11
e1119,2010/04/18,social media,19
e1128,2010/04/19,social media,10
e1135,2010/04/20,a book,36
e1143,2010/04/21,social media,14
e1152,2010/04/22,a book,16
e1161,2010/04/23,a book,32
e1170,2010/04/24,social media,46
e1178,2010/04/25,a book,41
e1186,2010/04/26,news,45
e1195,2010/04/27,a book,20
e1204,2010/04/28,social media,39
e1212,2010/04/29,a book,51
e1221,2010/04/30,news,11
e1229,2010/05/01,news,35
e1238,2010/05/02,a book,31
e1245,2010/05/03,social media,8
e1253,2010/05/04,a book,53
e1261,2010/05/05,social media,16
e1271,2010/05/06,social media,9
e1279,2010/05/07,news,39
e1287,2010/05/08,a book,30
e1296,2010/05/09,social media,16
e1306,2010/05/10,news,48
e1315,2010/05/11,news,39
e1323,2010/05/12,a book,49
e1331,2010/05/13,a book,15
e1340,2010/05/14,news,43
e1350,2010/05/15,a book,47
e1360,2010/05/16,a book,8
e1369,2010/05/17,a book,50
e1378,2010/05/18,a book,21
e1386,2010/05/19,news,9
e1395,2010/05/20,a book,21
e1404,2010/05/21,a book,40
e1414,2010/05/22,a book,22
e1422,2010/05/23,social media,25
e1430,2010/05/24,a book,27
e1439,2010/05/25,social media,53
e1448,2010/05/26,social media,43
e1456,2010/05/27,social media,6
e1466,2010/05/28,a book,53
e1475,2010/05/29,social media,48
e1484,2010/05/30,social media,51
e1492,2010/05/31,social media,45
e1501,2010/06/01,news,24
e1511,2010/06/02,social media,26
e1521,2010/06/03,a book,21
e1531,2010/06/04,a book,24
e1541,2010/06/05,social media,33
e1549,2010/06/06,social media,28
e1557,2010/06/07,a book,32
e1566,2010/06/08,news,54
e1573,2010/06/09,social media,18
e1583,2010/06/10,news,5
e1591,2010/06/11,news,8
e1600,2010/06/12,news,40
e1608,2010/06/13,news,12
e1616,2010/06/14,news,19
e1624,2010/06/15,news,39
e1633,2010/06/16,a book,11
e1642,2010/06/17,social media,24
e1649,2010/06/18,social media,32
e1659,2010/06/19,social media,50
e1667,2010/06/20,news,9
e1676,2010/06/21,social media,50
e1684,2010/06/22,news,9
e1693,2010/06/23,social media,29
e1703,2010/06/24,a book,18
e1713,2010/06/25,a book,53
e1722,2010/06/26,a book,21
e1732,2010/06/27,news,13
e1742,2010/06/28,a book,19
e1752,2010/06/29,news,20
e1760,2010/06/30,a book,24
e1767,2010/07/01,a book,13
e1775,2010/07/02,social media,47
e1784,2010/07/03,social media,17
e1791,2010/07/04,a book,48
e1799,2010/07/05,news,41
e1808,2010/07/06,social media,33
e1818,2010/07/07,news,28
e1826,2010/07/08,a book,10
e1835,2010/07/09,news,43
e1843,2010/07/10,news,36
e1853,2010/07/11,news,5
e1862,2010/07/12,social media,20
e1872,2010/07/13,a book,13
e1881,2010/07/14,social media,51
e1891,2010/07/15,news,7
e1900,2010/07/16,a book,42
e1909,2010/07/17,a book,15
e1919,2010/07/18,news,5
e1926,2010/07/19,social media,35
e1935,2010/07/20,social media,8
e1943,2010/07/21,a book,5
e1953,2010/07/22,social media,50
e1962,2010/07/23,a book,13
e1971,2010/07/24,a book,28
e1980,2010/07/25,a book,17
e1989,2010/07/26,social media,36
e1998,2010/07/27,a book,28
e2007,2010/07/28,social media,28
e2015,2010/07/29,a book,33
e2025,2010/07/30,social media,43
e2034,2010/07/31,social media,50
e2044,2010/08/01,a book,42
e2054,2010/08/02,social media,34
e2063,2010/08/03,a book,18
e2072,2010/08/04,a book,24
e2082,2010/08/05,a book,16
e2089,2010/08/06,social media,10
e2096,2010/08/07,a book,22
e2104,2010/08/08,a book,39
e2112,2010/08/09,social media,15
e2120,2010/08/10,a book,34
e2128,2010/08/11,social media,32
e2136,2010/08/12,a book,53
e2143,2010/08/13,a book,30
e2152,2010/08/14,a book,8
e2160,2010/08/15,social media,13
e2170,2010/08/16,social media,50
e2179,2010/08/17,social media,33
e2186,2010/08/18,news,11
e2194,2010/08/19,news,12
e2203,2010/08/20,a book,15
e2211,2010/08/21,news,45
e2218,2010/08/22,news,24
e2227,2010/08/23,social media,7
e2235,2010/08/24,a book,52
e2243,2010/08/25,social media,38
e2251,2010/08/26,a book,47
e2259,2010/08/27,news,29
e2268,2010/08/28,news,52
e2277,2010/08/29,a book,38
e2285,2010/08/30,social media,7
e2294,2010/08/31,news,22
e2302,2010/09/01,news,8
e2312,2010/09/02,news,17
e2321,2010/09/03,social media,42
e2330,2010/09/04,news,50
e2338,2010/09/05,social media,21
e2348,2010/09/06,news,5
e2358,2010/09/07,a book,40
e2367,2010/09/08,a book,47
e2375,2010/09/09,social media,14
e2385,2010/09/10,a book,45
e2394,2010/09/11,a book,25
e2402,2010/09/12,news,28
e2411,2010/09/13,news,50
e2420,2010/09/14,a book,10
e2428,2010/09/15,a book,20
e2437,2010/09/16,a book,50
e2446,2010/09/17,social media,35
e2455,2010/09/18,news,9
e2465,2010/09/19,news,19
e2475,2010/09/20,social media,15
e2484,2010/09/21,news,23
e2493,2010/09/22,a book,22
e2502,2010/09/23,a book,38
e2510,2010/09/24,a book,7
e2520,2010/09/25,social media,29
e2529,2010/09/26,a book,36
e2537,2010/09/27,news,50
e2547,2010/09/28,a book,12
e2555,2010/09/29,social media,46
e2565,2010/09/30,social media,5
e2573,2010/10/01,a book,48
e2582,2010/10/02,a book,41
e2590,2010/10/03,social media,38
e2599,2010/10/04,a book,32
e2608,2010/10/05,a book,38
e2616,2010/10/06,news,47
e2625,2010/10/07,a book,53
e2634,2010/10/08,a book,53
e2642,2010/10/09,a book,38
e2652,2010/10/10,news,47
e2660,2010/10/11,social media,30
e2668,2010/10/12,social media,12
e2676,2010/10/13,social media,26
e2685,2010/10/14,social media,53
e2694,2010/10/15,social media,11
e2703,2010/10/16,social media,43
e2711,2010/10/17,social media,46
e2719,2010/10/18,social media,46
e2729,2010/10/19,a book,38
e2738,2010/10/20,social media,54
e2747,2010/10/21,news,22
e2755,2010/10/22,news,9
e2765,2010/10/23,a book,46
e2774,2010/10/24,a book,8
e2783,2010/10/25,social media,17
e2793,2010/10/26,a book,15
e2802,2010/10/27,a book,23
e2811,2010/10/28,a book,21
e2820,2010/10/29,social media,26
e2829,2010/10/30,social media,32
e2838,2010/10/31,news,41
e2846,2010/11/01,a book,22
e2854,2010/11/02,social media,24
e2863,2010/11/03,social media,33
e2872,2010/11/04,a book,40
e2880,2010/11/05,a book,53
e2889,2010/11/06,a book,34
e2898,2010/11/07,a book,18
e2906,2010/11/08,news,20
e2916,2010/11/09,social media,7
e2926,2010/11/10,a book,46
e2935,2010/11/11,a book,11
e2945,2010/11/12,a book,39
e2955,2010/11/13,a book,9
e2963,2010/11/14,social media,29
e2973,2010/11/15,news,53
e2981,2010/11/16,news,35
e2989,2010/11/17,social media,6
e2998,2010/11/18,social media,14
e3006,2010/11/19,social media,50
e3013,2010/11/20,a book,51
e3021,2010/11/21,a book,24
e3031,2010/11/22,news,37
e3040,2010/11/23,news,15
e3049,2010/11/24,news,48
e3059,2010/11/25,news,54
e3068,2010/11/26,news,44
e3076,2010/11/27,social media,48
e3086,2010/11/28,news,38
e3096,2010/11/29,social media,50
e3105,2010/11/30,social media,18
e3114,2010/12/01,social media,23
e3122,2010/12/02,news,31
