eid,date,hobbies,people_string
e18,2010/01/05,meditation,
e22,2010/01/21,yoga,
e36,2010/02/25,gardening,
e39,2010/03/03,yoga,
e52,2010/03/29,working out,"Andrew, Carter, Emily"
e57,2010/04/02,working out,
e61,2010/04/16,meditation,
e66,2010/04/24,gardening,"Jackson, Avery, Willow"
e67,2010/04/29,yoga,
e71,2010/05/03,learning a language,
e73,2010/05/07,yoga,
e76,2010/05/16,learning a language,Nora
e77,2010/05/18,learning a language,"Andrew, Carter"
e81,2010/05/27,yoga,Carter
e84,2010/06/01,yoga,
e87,2010/06/05,meditation,Carter
e91,2010/06/17,meditation,"Emily, Kayden"
e94,2010/06/20,meditation,
e95,2010/06/23,meditation,
e98,2010/06/26,gardening,
e99,2010/06/28,working out,"Piper, Avery"
e104,2010/07/06,yoga,
e112,2010/07/19,working out,
e115,2010/07/25,working out,
e116,2010/07/27,yoga,"Kayden, Andrew"
e120,2010/07/30,learning a language,
e125,2010/08/09,working out,
e128,2010/08/14,yoga,
e132,2010/08/22,yoga,
e135,2010/08/28,gardening,
e139,2010/09/07,working out,
e143,2010/09/12,yoga,
e151,2010/09/28,learning a language,"Emily, Andrew"
e156,2010/10/03,yoga,"Olivia, Piper, Claire"
e163,2010/10/16,working out,
e167,2010/10/24,yoga,"Piper, Hazel, Layla"
e172,2010/10/29,working out,"Avery, Rylee, Eva"
e179,2010/11/13,yoga,Emily
e182,2010/11/20,learning a language,"Rylee, Claire, Nora"
e188,2010/12/09,learning a language,
e192,2010/12/14,learning a language,
e198,2010/12/26,learning a language,
e199,2010/12/29,yoga,"Emily, Carter, Kayden"
e202,2010/12/31,yoga,Avery
e3400,2011/01/05,yoga,"Eva, Piper, Rylee"
e3404,2011/01/11,gardening,
e3407,2011/01/17,yoga,
e3408,2011/01/20,learning a language,Kayden
e3412,2011/01/28,working out,
e3419,2011/02/07,learning a language,
e3423,2011/02/15,working out,
e3432,2011/03/08,working out,"Avery, Willow"
e3437,2011/03/15,gardening,
e3440,2011/03/20,meditation,"Kinsley, Piper"
e3445,2011/03/30,yoga,
e3451,2011/04/13,gardening,
e3455,2011/04/22,learning a language,Andrew
e3458,2011/04/24,gardening,
e3462,2011/05/02,working out,
e3463,2011/05/05,meditation,
e3470,2011/05/20,meditation,Olivia
e3478,2011/06/05,yoga,
e3482,2011/06/12,working out,
e3483,2011/06/14,gardening,"Emily, Carter, Kayden"
e3492,2011/06/26,yoga,
e3493,2011/06/29,meditation,
e3497,2011/07/08,working out,
e3500,2011/07/14,gardening,
e3512,2011/08/13,yoga,
e3516,2011/08/26,learning a language,
e3518,2011/08/29,gardening,
e3520,2011/09/09,gardening,Kinsley
e3528,2011/09/19,learning a language,
e3529,2011/09/20,learning a language,Olivia
e3533,2011/09/24,working out,
e3538,2011/10/03,working out,Carter
e3543,2011/10/20,meditation,"Kayden, Andrew, Carter"
e3548,2011/10/28,meditation,
e3553,2011/11/08,working out,Carter
e3558,2011/11/23,gardening,
e3566,2011/12/07,working out,"Andrew, Kayden"
e3571,2011/12/10,meditation,"Andrew, Carter"
e3575,2011/12/21,working out,Willow
e3578,2011/12/28,yoga,
e6778,2012/01/06,yoga,"Nevaeh, Eva, Layla"
