eid,start_date,end_date,city,people
e40550,2022/05/24,2022/05/27,"New York, US","Claire, Piper"
e37189,2021/01/11,2021/01/17,"Shanghai, China","Kayden, Carter, Emily"
e33784,2020/05/01,2020/05/12,"Paris, France",Piper
e30415,2019/02/21,2019/03/02,"Bangkok, Thailand","Lydia, Hazel"
e27006,2018/03/20,2018/03/26,"Seoul, South Korea",Avery
e23609,2017/01/10,2017/01/21,"Sydney, Australia","Andrew, Kayden"
e20243,2016/03/27,2016/04/02,"London, UK",Piper
e16891,2015/01/15,2015/01/26,"Rio, Brazil","Andrew, Carter"
e13493,2014/05/21,2014/05/24,"Los Angeles, US","Willow, Jackson, Avery"
e10175,2013/05/03,2013/05/18,"Seoul, South Korea","Avery, Jackson"
e6764,2012/03/07,2012/03/12,"Bangkok, Thailand","Benjamin, Avery, Willow"
e3378,2011/02/24,2011/03/06,"Bangkok, Thailand",Andrew
e1,2010/02/12,2010/02/18,"Philadelphia, US","Carter, Kayden"
