eid,date,timeofday,howlong,friends
e207,2010/01/01,late in the evening,6,Rylee
e208,2010/01/01,in the late afternoon,36,"Nevaeh, Avery, Nora, Piper"
e215,2010/01/02,in the morning,31,"Avery, Lydia, Hazel, Nevaeh"
e216,2010/01/02,in the morning,21,"Avery, Rylee"
e217,2010/01/02,in the early afternoon,27,"Rylee, Piper, Olivia, Claire"
e224,2010/01/03,in the morning,29,Layla
e225,2010/01/03,in the early afternoon,32,"Piper, Rylee, Piper"
e226,2010/01/03,in the late afternoon,7,"Rylee, Lydia"
e233,2010/01/04,during lunch hours,24,"Avery, Layla, Olivia, Piper"
e234,2010/01/04,in the late afternoon,52,"Kinsley, Eva"
e235,2010/01/04,during lunch hours,27,"Nevaeh, Rylee"
e236,2010/01/04,in the early afternoon,50,"Piper, Eva, Olivia"
e243,2010/01/05,during lunch hours,38,"Piper, Eva, Lydia, Nora"
e244,2010/01/05,in the early evening,41,"Rylee, Nora"
e251,2010/01/06,during lunch hours,21,"Avery, Olivia, Layla, Nora"
e257,2010/01/07,late in the evening,50,"Rylee, Nevaeh, Layla"
e258,2010/01/07,in the early afternoon,16,Eva
e265,2010/01/08,in the early afternoon,47,"Piper, Lydia, Rylee"
e266,2010/01/08,in the late afternoon,20,"Lydia, Piper"
e267,2010/01/08,in the early afternoon,38,"Piper, Eva, Lydia"
e274,2010/01/09,in the early afternoon,13,"Layla, Avery, Olivia"
e275,2010/01/09,in the early afternoon,18,"Nevaeh, Layla"
e276,2010/01/09,in the late afternoon,43,"Avery, Rylee, Nora, Claire"
e283,2010/01/10,in the early evening,51,"Avery, Layla, Eva"
e284,2010/01/10,in the early evening,15,Lydia
e285,2010/01/10,late in the evening,40,"Piper, Kinsley, Rylee, Olivia"
e292,2010/01/11,in the morning,42,"Layla, Rylee, Eva"
e293,2010/01/11,in the early afternoon,30,"Lydia, Hazel, Claire, Avery"
e294,2010/01/11,late in the evening,45,"Lydia, Eva, Piper, Nora"
e301,2010/01/12,in the early afternoon,15,"Nora, Olivia, Piper, Avery"
e302,2010/01/12,during lunch hours,17,"Piper, Hazel, Claire"
e309,2010/01/13,during lunch hours,22,"Hazel, Eva, Lydia, Claire"
e316,2010/01/14,in the early evening,23,Piper
e317,2010/01/14,during lunch hours,50,"Claire, Layla"
e318,2010/01/14,in the morning,11,"Rylee, Eva, Piper, Olivia"
e325,2010/01/15,in the early evening,14,"Lydia, Eva"
e326,2010/01/15,late in the evening,6,"Piper, Avery"
e333,2010/01/16,late in the evening,39,Piper
e334,2010/01/16,in the late afternoon,54,"Nora, Kinsley, Olivia, Hazel"
e335,2010/01/16,in the early afternoon,42,"Eva, Nora, Olivia, Lydia"
e342,2010/01/17,in the early evening,55,"Eva, Kinsley, Layla"
e343,2010/01/17,in the early evening,40,"Nora, Piper, Nevaeh"
e350,2010/01/18,in the morning,36,"Hazel, Rylee"
e351,2010/01/18,in the morning,17,"Piper, Layla, Olivia"
e352,2010/01/18,in the early afternoon,30,"Nevaeh, Hazel, Avery"
e359,2010/01/19,in the morning,8,"Nora, Layla"
e360,2010/01/19,late in the evening,46,"Rylee, Nora"
e367,2010/01/20,during lunch hours,42,"Layla, Hazel"
e368,2010/01/20,in the early afternoon,8,"Nevaeh, Nora"
