eid,date,watchtype,howlong
e210,2010/01/01,a tv series,52
e219,2010/01/02,a movie,30
e228,2010/01/03,news,23
e238,2010/01/04,a movie,48
e246,2010/01/05,news,41
e253,2010/01/06,news,13
e260,2010/01/07,a movie,21
e269,2010/01/08,news,39
e278,2010/01/09,a movie,28
e287,2010/01/10,a movie,53
e296,2010/01/11,a tv series,51
e304,2010/01/12,a documentary,41
e311,2010/01/13,a tv series,6
e320,2010/01/14,news,29
e328,2010/01/15,a documentary,41
e337,2010/01/16,a tv series,12
e345,2010/01/17,a tv series,43
e354,2010/01/18,a movie,38
e362,2010/01/19,a movie,50
e370,2010/01/20,a movie,18
e379,2010/01/21,a documentary,23
e388,2010/01/22,a movie,31
e396,2010/01/23,news,7
e404,2010/01/24,a tv series,18
e413,2010/01/25,a documentary,24
e420,2010/01/26,news,50
e429,2010/01/27,a tv series,32
e438,2010/01/28,a movie,14
e448,2010/01/29,a movie,18
e457,2010/01/30,news,53
e465,2010/01/31,news,27
e472,2010/02/01,a movie,47
e482,2010/02/02,news,46
e491,2010/02/03,a documentary,30
e499,2010/02/04,news,32
e507,2010/02/05,a movie,18
e516,2010/02/06,a movie,48
e523,2010/02/07,a documentary,51
e531,2010/02/08,news,8
e539,2010/02/09,a documentary,27
e546,2010/02/10,a documentary,24
e555,2010/02/11,a movie,27
e562,2010/02/12,a movie,30
e570,2010/02/13,a documentary,53
e578,2010/02/14,a movie,7
e586,2010/02/15,news,27
e593,2010/02/16,a documentary,22
e601,2010/02/17,news,48
e609,2010/02/18,a movie,10
e618,2010/02/19,a movie,6
e627,2010/02/20,news,23
e636,2010/02/21,news,15
e645,2010/02/22,a documentary,39
e654,2010/02/23,a documentary,39
e664,2010/02/24,news,53
e672,2010/02/25,a documentary,20
e680,2010/02/26,a documentary,28
e690,2010/02/27,news,44
e699,2010/02/28,a tv series,36
e706,2010/03/01,a tv series,11
e714,2010/03/02,a movie,35
e723,2010/03/03,a documentary,34
e732,2010/03/04,a documentary,29
e741,2010/03/05,a movie,50
e750,2010/03/06,a tv series,49
e759,2010/03/07,a documentary,19
e766,2010/03/08,a movie,25
e775,2010/03/09,a movie,31
e785,2010/03/10,a tv series,28
e793,2010/03/11,a tv series,43
e802,2010/03/12,a documentary,12
e811,2010/03/13,a movie,21
e820,2010/03/14,a documentary,19
e827,2010/03/15,a documentary,15
e833,2010/03/16,a documentary,25
e843,2010/03/17,a documentary,33
e851,2010/03/18,news,32
e859,2010/03/19,a documentary,51
e868,2010/03/20,a documentary,55
e877,2010/03/21,a movie,38
e885,2010/03/22,a tv series,53
e895,2010/03/23,a tv series,47
e903,2010/03/24,a tv series,49
e911,2010/03/25,a tv series,48
e920,2010/03/26,a tv series,25
e930,2010/03/27,a movie,20
e939,2010/03/28,a documentary,40
e947,2010/03/29,a tv series,16
e956,2010/03/30,a movie,27
e964,2010/03/31,a tv series,18
e974,2010/04/01,a tv series,18
e982,2010/04/02,news,32
e990,2010/04/03,a movie,33
e998,2010/04/04,news,48
e1008,2010/04/05,a documentary,17
e1017,2010/04/06,a movie,23
e1026,2010/04/07,a tv series,23
e1035,2010/04/08,a movie,55
e1044,2010/04/09,a documentary,13
e1052,2010/04/10,a documentary,23
e1060,2010/04/11,news,35
e1069,2010/04/12,a documentary,5
e1078,2010/04/13,a documentary,23
e1087,2010/04/14,news,18
e1094,2010/04/15,a tv series,47
e1101,2010/04/16,a tv series,33
e1110,2010/04/17,a tv series,41
e1120,2010/04/18,a movie,21
e1129,2010/04/19,a documentary,24
e1136,2010/04/20,a movie,16
e1144,2010/04/21,a tv series,7
e1153,2010/04/22,a movie,29
e1162,2010/04/23,a documentary,50
e1171,2010/04/24,news,33
e1179,2010/04/25,a tv series,16
e1187,2010/04/26,a movie,14
e1196,2010/04/27,a movie,7
e1205,2010/04/28,a movie,36
e1213,2010/04/29,a movie,51
e1222,2010/04/30,a documentary,37
e1230,2010/05/01,news,24
