eid,date,fruits,drinks,toiletries,people_string
e19,2010/01/06,"guava, peaches, bananas, oranges","soda, sports drinks, pineapple juice, milk",body lotion,"Piper, Eva"
e20,2010/01/10,bananas,sports drinks,"toothbrush, toilet paper","Layla, Lydia, Hazel"
e23,2010/01/17,oranges,"tea, soda, coffee, pineapple juice","conditioner, shaving cream",
e24,2010/01/18,"pears, apples","tea, sports drinks, orange juice, mango juice",mouthwash,"Benjamin, Willow"
e26,2010/01/24,"blackberries, mangos","sports drinks, orange juice","shampoo, toothbrush","Kinsley, Piper, Layla, Claire, Nevaeh, Olivia, Piper, Eva, Rylee, Avery"
e27,2010/01/25,"watermelons, peaches",pineapple juice,"mouth wash, conditioner, paper towel, shaving cream","Eva, Nora, Rylee, Lydia, Avery"
e29,2010/01/31,"clementines, blackberries",mineral water,body lotion,
e30,2010/02/03,nectarines,"chocolate milk, soda, orange juice, apple juice",facial wash,"Piper, Layla, Kinsley, Lydia, Eva, Nora, Nevaeh, Rylee, Claire"
e32,2010/02/05,blackberries,milk,mouthwash,"Carter, Andrew, Emily, Kayden"
e33,2010/02/18,"apricots, blackberries",tea,"toothpaste, mouthwash, paper towel",
e37,2010/02/19,"watermelons, clementines, nectarines, peaches",milk,"facial wash, mouthwash",Jackson
e38,2010/02/24,bananas,"chocolate milk, pineapple juice, soda, milk","toothpaste, shaving cream","Eva, Nevaeh, Hazel, Piper, Claire"
e40,2010/02/26,guava,"chocolate milk, guava juice, tea","body lotion, shaving cream, mouthwash, facial wash",Carter
e41,2010/03/04,"guava, blueberries, raspberries, apples","orange juice, mineral water, pineapple juice, milk","body lotion, mouthwash","Avery, Claire, Rylee, Layla, Nevaeh, Nora, Kinsley, Hazel, Olivia, Lydia, Eva"
e42,2010/03/05,"pineapples, apples, watermelons","mineral water, milk",mouth wash,
e43,2010/03/10,"bananas, clementines","tea, mineral water","toothbrush, toothpaste, paper towel, facial wash","Claire, Kinsley, Hazel, Rylee, Avery, Piper, Lydia, Eva, Nevaeh, Layla"
e46,2010/03/12,"apples, peaches","orange juice, milk, soda, tea","shampoo, toothpaste","Andrew, Emily, Carter"
e47,2010/03/16,"guava, mandarins, peaches","orange juice, pineapple juice","mouthwash, body lotion",Andrew
e53,2010/03/26,"pineapples, blackberries","milk, tea","facial wash, mouth wash, toilet paper, mouthwash",
e54,2010/03/30,"clementines, apricots, strawberries, bananas","mineral water, soda, apple juice","toothpaste, mouthwash, body lotion",
e58,2010/04/06,"strawberries, nectarines, pineapples","orange juice, coffee, sports drinks, soda","mouthwash, facial wash, conditioner",
e59,2010/04/10,"strawberries, blueberries, peaches, pears","soda, orange juice, sports drinks, milk","mouthwash, shampoo",Carter
e60,2010/04/14,"blueberries, raspberries, pineapples, watermelons","guava juice, orange juice, soda","body lotion, conditioner",
e62,2010/04/17,"mangos, cherres","soda, mineral water, pineapple juice, chocolate milk",mouth wash,
e63,2010/04/22,"clementines, blueberries, peaches, pears",mango juice,toothpaste,
e68,2010/04/23,watermelons,"soda, tea","conditioner, shampoo",
e69,2010/04/29,"watermelons, guava, strawberries",orange juice,"body lotion, toothpaste, toothbrush, facial wash",Carter
e74,2010/05/10,mandarins,soda,"toilet paper, mouth wash, toothpaste, conditioner","Piper, Piper"
