eid,date,watchtype,howlong
e80,2010/01/02,a documentary,10
e99,2010/01/15,a movie,17
e101,2010/01/16,a documentary,16
e123,2010/01/28,a tv series,12
e126,2010/02/02,a documentary,25
e130,2010/02/06,a documentary,41
e135,2010/02/09,a documentary,17
e138,2010/02/12,news,24
e145,2010/02/20,news,52
e149,2010/02/21,news,22
e155,2010/02/25,a documentary,52
e207,2010/04/06,a movie,27
e209,2010/04/08,a tv series,34
e216,2010/04/13,a movie,50
e218,2010/04/14,a documentary,14
e227,2010/04/22,a movie,54
e230,2010/04/25,a documentary,15
e235,2010/04/30,news,9
e240,2010/05/03,a documentary,37
e265,2010/05/20,a documentary,20
e269,2010/05/23,a documentary,26
e275,2010/05/27,a movie,39
e279,2010/05/31,a documentary,42
e289,2010/06/08,a tv series,14
e292,2010/06/10,news,10
e294,2010/06/12,news,38
e297,2010/06/14,a movie,50
e307,2010/06/18,a documentary,44
e311,2010/06/21,a documentary,25
e313,2010/06/22,news,31
e328,2010/07/04,news,48
e336,2010/07/08,news,16
e343,2010/07/12,news,16
e348,2010/07/15,a documentary,47
e355,2010/07/20,news,41
e359,2010/07/22,a movie,48
e367,2010/07/26,news,29
e380,2010/08/07,a movie,18
e390,2010/08/12,news,48
e394,2010/08/13,a movie,47
e396,2010/08/15,a movie,14
e412,2010/08/24,news,7
e419,2010/08/29,a documentary,13
e421,2010/08/30,a documentary,38
e425,2010/09/01,a tv series,10
e434,2010/09/07,a documentary,31
e436,2010/09/09,a tv series,23
e439,2010/09/10,a tv series,32
e449,2010/09/17,a documentary,36
e459,2010/09/24,a movie,15
e461,2010/09/25,a tv series,37
e467,2010/09/27,a tv series,30
e470,2010/09/28,a movie,47
e494,2010/10/16,a documentary,26
e495,2010/10/17,a documentary,41
e503,2010/10/22,a tv series,26
e524,2010/11/06,a movie,12
e526,2010/11/10,a documentary,17
e536,2010/11/17,a movie,12
e537,2010/11/21,a tv series,13
e553,2010/12/04,a movie,39
e555,2010/12/05,a documentary,21
e557,2010/12/07,a movie,6
e564,2010/12/12,news,30
e565,2010/12/13,a tv series,43
e575,2010/12/19,a documentary,54
e590,2010/12/29,a tv series,52
e693,2011/01/04,a movie,18
e699,2011/01/07,a movie,48
e741,2011/02/03,a documentary,44
e743,2011/02/04,a tv series,44
e748,2011/02/07,a movie,41
e754,2011/02/11,a tv series,27
e757,2011/02/12,a movie,12
e765,2011/02/18,a movie,5
e768,2011/02/20,a movie,6
e774,2011/02/24,a documentary,28
e779,2011/02/26,a movie,5
e791,2011/03/07,a tv series,6
e795,2011/03/10,a tv series,19
e800,2011/03/16,a documentary,28
e807,2011/03/19,news,15
e811,2011/03/21,a movie,54
e815,2011/03/22,a movie,32
e821,2011/03/29,news,46
e825,2011/03/30,a tv series,22
e843,2011/04/09,news,10
e853,2011/04/13,a tv series,47
e856,2011/04/14,news,20
e861,2011/04/16,a movie,22
e868,2011/04/22,a tv series,12
e873,2011/04/26,news,25
e887,2011/05/03,a movie,28
e908,2011/05/21,news,34
e909,2011/05/22,a tv series,13
e917,2011/05/30,a tv series,45
e923,2011/06/04,a movie,9
e930,2011/06/06,a documentary,54
e933,2011/06/08,a documentary,44
e941,2011/06/13,news,52
e945,2011/06/14,news,46
e947,2011/06/15,a documentary,8
e950,2011/06/17,a movie,55
e953,2011/06/18,a movie,6
e954,2011/06/19,a documentary,7
e959,2011/06/22,a movie,20
e968,2011/06/29,news,5
e974,2011/07/02,a movie,32
e1002,2011/07/21,a tv series,50
e1011,2011/07/26,a documentary,7
e1015,2011/07/30,news,19
e1021,2011/08/03,a movie,7
e1027,2011/08/06,a movie,20
e1029,2011/08/07,news,35
e1047,2011/08/20,a tv series,19
e1057,2011/08/26,a tv series,14
e1059,2011/08/27,news,14
e1061,2011/08/29,a tv series,43
e1066,2011/09/01,a documentary,45
e1071,2011/09/07,a tv series,7
e1076,2011/09/09,a tv series,11
e1083,2011/09/13,news,51
e1092,2011/09/18,news,9
e1096,2011/09/20,a documentary,29
e1107,2011/09/26,a movie,47
e1118,2011/10/03,a tv series,7
e1131,2011/10/12,a tv series,27
e1133,2011/10/14,a documentary,35
e1139,2011/10/18,news,32
e1146,2011/10/21,news,36
e1147,2011/10/22,news,40
e1148,2011/10/23,a tv series,18
e1152,2011/10/27,a movie,23
e1154,2011/10/30,a documentary,28
e1158,2011/11/03,a documentary,5
e1160,2011/11/06,a documentary,39
e1173,2011/11/17,a movie,30
e1180,2011/11/24,news,10
e1182,2011/11/27,news,45
e1190,2011/12/01,a documentary,17
e1200,2011/12/07,news,54
e1206,2011/12/11,a documentary,7
e1215,2011/12/20,a movie,21
e1216,2011/12/21,a movie,28
e1221,2011/12/24,news,43
e1228,2011/12/30,news,49
e1333,2012/01/21,a tv series,35
e1336,2012/01/23,a movie,16
e1337,2012/01/25,a movie,44
e1362,2012/02/12,a tv series,14
e1373,2012/02/17,news,36
e1378,2012/02/23,a tv series,47
e1379,2012/02/25,a movie,6
e1384,2012/03/03,a tv series,20
e1390,2012/03/06,news,55
e1393,2012/03/08,a movie,39
e1415,2012/03/22,a documentary,45
e1435,2012/04/09,news,18
e1438,2012/04/10,news,15
e1442,2012/04/12,a documentary,42
e1444,2012/04/13,news,13
e1448,2012/04/17,a tv series,15
e1462,2012/04/24,a movie,23
e1464,2012/04/25,a movie,6
e1466,2012/04/27,a movie,14
e1484,2012/05/10,a tv series,10
e1492,2012/05/15,a documentary,43
e1502,2012/05/21,a tv series,7
e1507,2012/05/25,a documentary,42
e1512,2012/05/27,a documentary,42
e1540,2012/06/12,news,20
e1545,2012/06/16,a movie,30
e1547,2012/06/19,a movie,22
e1554,2012/06/22,a tv series,42
e1555,2012/06/24,a documentary,43
e1559,2012/06/26,a documentary,19
e1564,2012/06/28,news,8
e1600,2012/07/25,a movie,46
e1604,2012/07/27,a documentary,16
e1626,2012/08/11,a movie,9
e1628,2012/08/12,a tv series,19
e1637,2012/08/16,a documentary,11
e1671,2012/09/10,a movie,45
e1678,2012/09/15,a movie,39
e1692,2012/09/24,a tv series,53
e1696,2012/09/25,a movie,13
e1714,2012/10/01,a tv series,41
e1715,2012/10/02,a tv series,49
e1721,2012/10/04,a documentary,39
e1723,2012/10/05,news,28
e1726,2012/10/07,a documentary,43
e1729,2012/10/08,a documentary,52
e1731,2012/10/09,a movie,22
e1733,2012/10/10,a movie,9
e1737,2012/10/11,news,29
e1740,2012/10/12,a movie,26
e1749,2012/10/18,a tv series,10
e1760,2012/10/29,news,42
e1767,2012/11/01,a tv series,18
