eid,date,readtype,howlong
e137,2010/01/03,a book,26
e142,2010/01/04,news,29
e155,2010/01/08,news,7
e158,2010/01/09,social media,40
e161,2010/01/10,a book,51
e173,2010/01/13,a book,37
e177,2010/01/14,news,21
e187,2010/01/18,a book,16
e192,2010/01/19,news,49
e200,2010/01/21,social media,21
e204,2010/01/22,news,33
e208,2010/01/23,social media,5
e214,2010/01/25,a book,35
e218,2010/01/27,news,52
e222,2010/01/28,news,44
e226,2010/01/29,a book,52
e238,2010/02/01,social media,33
e245,2010/02/03,social media,17
e250,2010/02/04,a book,25
e255,2010/02/05,social media,15
e261,2010/02/06,social media,28
e269,2010/02/08,news,34
e273,2010/02/09,a book,45
e276,2010/02/10,social media,5
e280,2010/02/11,news,36
e283,2010/02/12,social media,40
e285,2010/02/13,news,46
e292,2010/02/15,a book,34
e298,2010/02/16,social media,40
e301,2010/02/17,social media,53
e306,2010/02/18,news,24
e312,2010/02/20,social media,13
e314,2010/02/21,news,26
e319,2010/02/22,social media,47
e329,2010/02/25,social media,49
e352,2010/03/03,a book,10
e358,2010/03/04,social media,25
e362,2010/03/05,social media,30
e367,2010/03/06,news,36
e371,2010/03/07,social media,50
e376,2010/03/08,social media,16
e383,2010/03/10,a book,43
e391,2010/03/11,social media,37
e396,2010/03/12,social media,7
e404,2010/03/14,news,6
e423,2010/03/20,news,38
e434,2010/03/22,social media,14
e439,2010/03/23,news,37
e445,2010/03/24,a book,43
e449,2010/03/25,a book,9
e454,2010/03/26,a book,33
e470,2010/03/29,a book,49
e475,2010/03/30,social media,38
e479,2010/03/31,social media,30
e485,2010/04/01,social media,48
e488,2010/04/02,news,37
e495,2010/04/04,a book,15
e510,2010/04/08,news,51
e517,2010/04/10,social media,45
e530,2010/04/13,social media,22
e535,2010/04/14,social media,19
e544,2010/04/16,news,54
e547,2010/04/17,a book,11
e562,2010/04/20,news,43
e570,2010/04/22,social media,23
e583,2010/04/26,news,28
e589,2010/04/27,social media,30
e595,2010/04/29,news,52
e605,2010/05/02,news,40
e614,2010/05/05,news,34
e630,2010/05/10,news,55
e638,2010/05/12,social media,21
e643,2010/05/13,news,12
e650,2010/05/15,news,33
e655,2010/05/16,news,43
e661,2010/05/18,a book,35
e665,2010/05/20,news,50
e673,2010/05/22,a book,22
e683,2010/05/24,social media,13
e688,2010/05/25,a book,18
e692,2010/05/27,social media,26
e698,2010/05/29,a book,46
e703,2010/05/30,news,16
e713,2010/06/03,social media,53
e721,2010/06/05,news,42
e724,2010/06/06,news,26
e732,2010/06/08,a book,16
e742,2010/06/10,social media,15
e748,2010/06/12,a book,20
e754,2010/06/14,a book,54
e759,2010/06/15,a book,48
e770,2010/06/18,news,5
e776,2010/06/19,a book,48
e789,2010/06/22,social media,42
e793,2010/06/23,news,35
e803,2010/06/26,social media,32
e807,2010/06/27,news,17
e824,2010/07/03,social media,32
e829,2010/07/05,social media,50
e839,2010/07/08,a book,46
e843,2010/07/09,a book,21
e851,2010/07/11,social media,26
e854,2010/07/12,social media,23
e861,2010/07/14,social media,45
e866,2010/07/15,news,16
e888,2010/07/20,social media,35
e892,2010/07/22,a book,52
e894,2010/07/23,news,15
e897,2010/07/24,news,16
e901,2010/07/25,news,36
e920,2010/07/29,a book,9
e925,2010/07/30,a book,39
e929,2010/07/31,news,16
e932,2010/08/01,a book,48
e943,2010/08/03,news,18
e948,2010/08/04,a book,7
e956,2010/08/06,news,19
e961,2010/08/07,a book,47
e977,2010/08/11,a book,54
e984,2010/08/14,social media,9
e996,2010/08/18,social media,22
e1007,2010/08/21,a book,5
e1018,2010/08/24,a book,20
e1021,2010/08/25,a book,46
e1042,2010/09/01,social media,24
e1050,2010/09/03,a book,53
e1069,2010/09/07,social media,13
e1076,2010/09/09,a book,9
e1081,2010/09/10,a book,25
e1087,2010/09/11,social media,33
e1092,2010/09/12,social media,51
e1099,2010/09/14,news,15
e1103,2010/09/15,news,18
e1109,2010/09/16,news,26
e1122,2010/09/19,social media,7
e1148,2010/09/26,social media,43
e1152,2010/09/27,a book,31
e1161,2010/09/29,social media,18
e1163,2010/09/30,news,38
e1177,2010/10/04,social media,54
e1183,2010/10/06,news,42
e1188,2010/10/07,news,6
e1198,2010/10/11,social media,48
e1201,2010/10/12,social media,34
e1207,2010/10/14,a book,11
e1212,2010/10/15,social media,20
e1223,2010/10/18,a book,41
e1229,2010/10/20,a book,14
e1233,2010/10/21,a book,39
e1256,2010/10/27,social media,10
e1259,2010/10/28,social media,52
e1267,2010/10/30,news,12
e1270,2010/10/31,social media,38
e1276,2010/11/01,social media,42
e1284,2010/11/03,social media,10
e1314,2010/11/10,news,46
e1319,2010/11/12,a book,24
e1325,2010/11/14,news,24
e1327,2010/11/15,news,54
e1332,2010/11/16,a book,20
e1338,2010/11/18,social media,39
e1347,2010/11/20,news,45
e1363,2010/11/23,social media,26
e1373,2010/11/26,a book,45
e1377,2010/11/27,news,20
e1381,2010/11/28,social media,40
e1386,2010/11/29,news,50
e1406,2010/12/05,a book,35
e1411,2010/12/06,news,13
e1422,2010/12/09,social media,49
e1427,2010/12/10,a book,14
e1432,2010/12/11,news,34
e1435,2010/12/12,a book,6
e1439,2010/12/13,a book,37
e1444,2010/12/14,news,19
e1457,2010/12/17,social media,8
e1462,2010/12/18,news,13
e1466,2010/12/19,news,14
e1482,2010/12/22,social media,49
e1489,2010/12/24,news,29
