eid,date,cuisine,location,people
e6097,2014/04/26,carrot cake,my place,"Piper, Nora, Rylee, Piper"
e6106,2014/05/26,turkey shepherd’s pie,my place,"Carter, Andrew"
e6109,2014/06/09,"chrissy teigen’s 3-ingredient chocolate mousse, birthday cupcakes with white wine buttercream",my place,"Andrew, Kayden"
e6123,2014/07/14,"brownies, peanut butter cookies",my place,"Emily, Kayden, Andrew"
e6142,2014/09/22,"carrot cake, cranberry apple danish, vegan sugar cookies",my place,Hazel
e6165,2014/12/02,blackberry-raspberry skillet cobbler,my place,"Carter, Kayden"
e6173,2014/12/21,blackberry jam pie-crust straws,my place,"Kayden, Emily"
e7609,2015/02/03,"indian red lentil, scallion pancake",my place,"Emily, Kayden"
e7610,2015/02/01,"carrot cake, peanut butter cookies",my place,"Emily, Carter"
e7614,2015/02/16,"cranberry apple danish, blackberry jam pie-crust straws, chocolate-chip mug brownie",my place,"Emily, Carter"
e7619,2015/02/22,"chocolate chip cookie in a mug, giant cinnamon roll",my place,Piper
e7635,2015/03/30,"blackberry jam pie-crust straws, blackberry-raspberry skillet cobbler",my place,Carter
e7652,2015/05/14,"air-fryer brats, cheesy ham chowder",my place,"Rylee, Olivia"
e7657,2015/05/22,"slow-cooker pork loin, cube steak and gravy, traditional meat loaf",my place,"Nora, Piper, Hazel"
e7664,2015/06/25,thai noodle salad,my place,"Jackson, Benjamin, Willow"
e7670,2015/07/13,homemade toaster pastries,my place,"Kayden, Andrew"
e7687,2015/09/07,split pea soup with ham & jalapeno,my place,Jackson
e7693,2015/09/27,"au gratin peas and potatoes, split pea soup with ham & jalapeno, sushi",my place,"Avery, Kinsley, Piper"
e7701,2015/10/10,"crockpot spareribs, chicken cordon bleu skillet",my place,"Willow, Jackson, Avery"
e7709,2015/11/16,easy peanut butter fudge,my place,"Avery, Lydia"
e9119,2016/02/15,"naan bread, cashew chicken ",my place,"Andrew, Carter, Emily"
e9127,2016/03/05,"general tso’s chicken, contest-winning broccoli chicken casserole",my place,Rylee
e9135,2016/03/20,"cheater’s mini rhubarb galettes, lemon meringue cookies",my place,"Carter, Emily, Kayden"
e9138,2016/03/31,"cheesy ham chowder, chinese broccoli with oyster sauce, shrimp quesadilla",my place,"Claire, Olivia"
e9145,2016/04/26,brown sugar-pear puff pastries,my place,"Emily, Kayden, Carter, Andrew"
e9146,2016/05/01,"easy peanut butter fudge, giant cinnamon roll",my place,"Andrew, Kayden, Carter"
e9150,2016/05/16,fig tarte tatin,my place,Avery
e9164,2016/06/29,"chinese chicken wings, healthy turkey chili",my place,"Emily, Carter, Andrew"
e9172,2016/07/09,"brownies, birthday cupcakes with white wine buttercream",my place,"Hazel, Layla"
e9173,2016/07/11,easy cherry skillet cake,my place,"Olivia, Piper, Avery"
e9179,2016/07/24,"crockpot spareribs, cheesy ham chowder, instant pot whole chicken",my place,"Piper, Nora, Rylee, Olivia"
e9186,2016/08/08,"easy peanut butter fudge, blackberry-raspberry skillet cobbler, brown sugar-pear puff pastries",my place,"Avery, Lydia, Piper, Eva"
e9216,2016/11/21,"cheater’s mini rhubarb galettes, birthday cupcakes with white wine buttercream",my place,Emily
e9227,2016/12/16,split pea soup with ham & jalapeno,my place,Jackson
e10660,2017/01/13,"air-fryer brats, swedish meatball recipe",my place,"Kayden, Andrew"
e10685,2017/03/08,cream of celery soup recipe,my place,"Kayden, Emily, Carter, Andrew"
e10738,2017/08/10,"cream-filled bundt cake, blackberry jam pie-crust straws",my place,"Lydia, Avery, Kinsley"
e10760,2017/10/23,chinese broccoli with oyster sauce,my place,Kayden
e10764,2017/11/11,"hamburger stroganoff, favorite chicken potpie, ramen noodle stir-fry",my place,Willow
e10775,2017/12/07,macaroni and cheese,my place,"Avery, Benjamin, Willow, Jackson"
e10777,2017/12/12,cinnamon sheet cake with cider frosting,my place,"Carter, Andrew, Kayden, Emily"
e10781,2017/12/26,"blackberry jam pie-crust straws, blackberry-raspberry skillet cobbler",my place,"Claire, Olivia, Piper"
e12177,2018/02/07,"chocolate-chip mug brownie, carrot cake",my place,"Emily, Andrew, Carter"
e12207,2018/05/20,"homemade toaster pastries, cinnamon sheet cake with cider frosting, easy chocolate marshmallow cups",my place,"Nevaeh, Nora, Rylee, Olivia"
e12226,2018/07/09,beef and broccoli,my place,"Nevaeh, Nora, Avery"
e12272,2018/11/25,"healthy turkey chili, so-easy sloppy joes",my place,"Emily, Kayden, Andrew, Carter"
e13655,2019/01/25,"peanut butter cookies, chrissy teigen’s 3-ingredient chocolate mousse",my place,"Kayden, Emily"
e13678,2019/04/17,"sushi, chicken and gravy",my place,"Layla, Claire, Olivia, Kinsley"
e13686,2019/05/23,"easy peanut butter fudge, peanut butter cookies",my place,"Claire, Layla, Olivia, Hazel"
e13702,2019/07/09,"cashew chicken , rigatoni with sausage & peas",my place,"Andrew, Kayden, Carter, Emily"
e13703,2019/07/12,"naan bread, thai green curry paste, asian slaw",my place,Emily
e13709,2019/08/02,"ground turkey vegetable soup, general tso’s chicken, contest-winning broccoli chicken casserole",my place,"Layla, Nevaeh, Kinsley"
e13712,2019/08/10,"poke, chicken cordon bleu skillet",my place,"Olivia, Nevaeh"
e13717,2019/08/13,"easy peanut butter fudge, homemade toaster pastries",my place,"Kayden, Andrew, Emily, Carter"
e13746,2019/11/23,"carrot cake, brownies",my place,"Avery, Jackson, Willow"
e15156,2020/03/22,ground turkey vegetable soup,my place,"Carter, Kayden"
e15173,2020/05/15,"birthday cupcakes with white wine buttercream, easy chocolate marshmallow cups, blackberry-raspberry skillet cobbler",my place,"Andrew, Carter"
e15179,2020/06/15,"tender salsa beef, healthy turkey chili, thai noodle salad",my place,Nevaeh
e15193,2020/07/29,chicken and gravy,my place,"Kayden, Emily"
e15204,2020/08/31,"rigatoni with sausage & peas, turkey shepherd’s pie, lo mein",my place,"Benjamin, Jackson, Willow"
e15205,2020/08/26,cream-filled bundt cake,my place,"Emily, Carter, Andrew, Kayden"
e15212,2020/09/28,"chinese broccoli with oyster sauce, vietnamese coffee, so-easy sloppy joes",my place,"Jackson, Avery, Benjamin, Willow"
e15218,2020/10/09,"chicken and gravy, indian red lentil",my place,"Eva, Rylee, Lydia"
e16616,2021/01/16,"easy peanut butter fudge, homemade toaster pastries",my place,Andrew
e16627,2021/02/12,"cinnamon sheet cake with cider frosting, gluten-free apple rose tart",my place,"Jackson, Avery, Willow"
e16628,2021/02/17,"giant cinnamon roll, carrot cake, easy peanut butter fudge",my place,"Willow, Jackson"
e16634,2021/02/27,easy chocolate marshmallow cups,my place,"Piper, Nora, Eva, Avery"
e16650,2021/04/24,brownies,my place,"Olivia, Rylee, Nevaeh"
e16683,2021/08/01,"cashew chicken , general tso’s chicken, lo mein",my place,"Andrew, Carter"
e16690,2021/09/02,"lemon meringue cookies, birthday cupcakes with white wine buttercream",my place,"Nora, Lydia, Nevaeh"
e16704,2021/10/21,"blackberry jam pie-crust straws, fig tarte tatin, cheater’s mini rhubarb galettes",my place,Layla
e16710,2021/11/04,"blackberry-raspberry skillet cobbler, lemon meringue cookies",my place,"Piper, Avery, Claire, Olivia"
e18158,2022/04/17,"homemade toaster pastries, brown sugar-pear puff pastries",my place,"Carter, Emily, Andrew, Kayden"
e18163,2022/05/03,swedish meatball recipe,my place,"Eva, Kinsley"
e18174,2022/06/03,"chocolate chip cookie in a mug, easy chocolate marshmallow cups, blackberry-raspberry skillet cobbler",my place,"Andrew, Carter, Emily"
e18186,2022/06/26,"chow mein, cheesy ham chowder",my place,"Andrew, Kayden, Emily"
e18192,2022/07/12,lemon meringue cookies,my place,"Kayden, Carter, Emily, Andrew"
e18225,2022/10/09,"cranberry apple danish, cinnamon sheet cake with cider frosting",my place,"Carter, Andrew, Emily"
e18226,2022/10/21,"creamed garden potatoes and peas, general tso’s chicken",my place,"Piper, Kinsley, Layla, Piper"
e18236,2022/11/14,"dessert nachos, cranberry apple danish, gluten-free apple rose tart",my place,"Rylee, Piper"
e18242,2022/11/30,"cream-filled bundt cake, fig tarte tatin, chocolate chip cookie in a mug",my place,"Emily, Carter"
e18250,2022/12/30,"contest-winning broccoli chicken casserole, au gratin peas and potatoes",my place,"Jackson, Benjamin, Willow"
