eid,date,timeofday,howlong,friends
e132,2010/01/02,in the morning,41,Nora
e135,2010/01/03,late in the evening,30,"Piper, Lydia"
e136,2010/01/03,in the late afternoon,5,"Nora, Nevaeh, Piper, Olivia"
e145,2010/01/05,in the early afternoon,22,"Rylee, Lydia"
e146,2010/01/05,in the early afternoon,29,"Nora, Nevaeh"
e148,2010/01/06,late in the evening,49,"Claire, Rylee, Nevaeh, Kinsley"
e150,2010/01/07,during lunch hours,48,"Layla, Piper, Eva"
e153,2010/01/08,late in the evening,33,"Avery, Rylee"
e154,2010/01/08,during lunch hours,26,Nora
e157,2010/01/09,in the morning,13,"Nevaeh, Eva"
e168,2010/01/12,in the early afternoon,35,"Layla, Claire"
e172,2010/01/13,in the early evening,42,"Piper, Piper, Rylee"
e179,2010/01/15,during lunch hours,8,"Piper, Kinsley, Hazel"
e180,2010/01/16,in the early afternoon,36,"Eva, Claire, Lydia"
e182,2010/01/17,in the early evening,44,"Rylee, Olivia"
e183,2010/01/17,in the early evening,17,"Piper, Olivia"
e186,2010/01/18,during lunch hours,39,"Claire, Nevaeh, Nora"
e190,2010/01/19,in the morning,26,"Layla, Piper, Claire, Olivia"
e191,2010/01/19,in the late afternoon,20,"Lydia, Layla"
e196,2010/01/20,in the early afternoon,44,Piper
e203,2010/01/22,in the early afternoon,17,"Nevaeh, Nora, Piper, Hazel"
e211,2010/01/24,in the early afternoon,29,"Rylee, Nora, Claire"
e221,2010/01/28,in the late afternoon,54,Lydia
e225,2010/01/29,in the early evening,39,"Piper, Nora"
e230,2010/01/30,during lunch hours,7,"Rylee, Olivia, Claire, Avery"
e234,2010/01/31,in the late afternoon,12,"Nevaeh, Piper, Olivia, Kinsley"
e237,2010/02/01,in the early afternoon,42,"Piper, Nora, Nevaeh"
e244,2010/02/03,during lunch hours,25,"Lydia, Eva"
e249,2010/02/04,in the early afternoon,22,"Nevaeh, Rylee, Claire, Piper"
e254,2010/02/05,in the early evening,38,Olivia
e260,2010/02/06,during lunch hours,23,"Eva, Avery"
e264,2010/02/07,in the early evening,35,"Avery, Olivia, Hazel, Kinsley"
e268,2010/02/08,during lunch hours,17,"Lydia, Nevaeh, Piper, Kinsley"
e272,2010/02/09,in the early afternoon,52,"Nevaeh, Eva, Nora, Piper"
e291,2010/02/15,late in the evening,48,Claire
e297,2010/02/16,in the early evening,35,Rylee
e304,2010/02/18,in the early afternoon,11,"Piper, Hazel"
e305,2010/02/18,in the late afternoon,28,"Piper, Nora, Layla, Avery"
e309,2010/02/19,in the morning,37,"Nora, Kinsley"
e311,2010/02/20,in the late afternoon,53,"Nevaeh, Rylee, Piper, Claire"
e318,2010/02/22,in the early afternoon,9,"Eva, Lydia"
e321,2010/02/23,in the late afternoon,8,Nevaeh
e325,2010/02/24,in the early evening,52,"Avery, Eva"
e326,2010/02/24,during lunch hours,17,"Piper, Hazel, Claire"
e341,2010/02/28,in the morning,47,Lydia
e345,2010/03/01,in the early afternoon,31,"Nora, Layla, Avery, Kinsley"
e346,2010/03/01,in the late afternoon,33,"Layla, Avery, Piper, Claire"
e357,2010/03/04,late in the evening,43,Eva
e361,2010/03/05,in the late afternoon,44,"Piper, Nevaeh, Kinsley, Avery"
e366,2010/03/06,in the early evening,6,Hazel
e370,2010/03/07,late in the evening,55,"Nevaeh, Claire"
e375,2010/03/08,late in the evening,22,"Piper, Olivia, Nevaeh, Claire"
e377,2010/03/09,during lunch hours,47,"Nevaeh, Lydia"
e381,2010/03/10,in the late afternoon,40,"Claire, Layla, Piper, Hazel"
e382,2010/03/10,in the late afternoon,18,"Nevaeh, Claire, Olivia"
e389,2010/03/11,in the late afternoon,13,"Olivia, Kinsley"
e390,2010/03/11,in the morning,44,"Kinsley, Piper, Avery"
e395,2010/03/12,during lunch hours,50,"Hazel, Avery, Kinsley"
e398,2010/03/13,in the early evening,49,Avery
e402,2010/03/14,in the early afternoon,29,Claire
e403,2010/03/14,in the early afternoon,54,Eva
e407,2010/03/15,late in the evening,20,"Eva, Hazel, Lydia"
e410,2010/03/17,during lunch hours,15,"Piper, Kinsley, Layla, Eva"
e411,2010/03/17,during lunch hours,12,"Avery, Rylee, Lydia, Kinsley"
e417,2010/03/19,in the early evening,51,Hazel
e418,2010/03/19,in the early evening,36,"Olivia, Kinsley, Claire, Rylee"
e427,2010/03/21,in the late afternoon,26,Kinsley
e428,2010/03/21,during lunch hours,33,"Kinsley, Layla, Lydia, Hazel"
e432,2010/03/22,during lunch hours,7,Layla
e433,2010/03/22,in the early evening,20,"Avery, Hazel, Nevaeh, Piper"
e437,2010/03/23,in the morning,54,"Kinsley, Piper"
e438,2010/03/23,in the early afternoon,49,Piper
e443,2010/03/24,in the early evening,36,"Claire, Nevaeh, Hazel"
e444,2010/03/24,in the late afternoon,24,"Kinsley, Olivia, Piper, Nora"
e447,2010/03/25,late in the evening,34,"Kinsley, Avery, Lydia, Claire"
e448,2010/03/25,in the late afternoon,49,Layla
e452,2010/03/26,in the early evening,20,"Layla, Rylee, Piper"
