eid,date,fruits,drinks,toiletries,people_string
e21,2010/01/14,"watermelons, apples","tea, sports drinks, pineapple juice","paper towel, body lotion, shaving cream, conditioner",
e22,2010/01/16,"blackberries, clementines, guava, nectarines",tea,toothbrush,Avery
e25,2010/01/22,"peaches, strawberries, oranges","orange juice, guava juice",mouthwash,
e27,2010/01/31,"bananas, pineapples, guava","guava juice, soda","toothpaste, mouthwash, paper towel",
e32,2010/02/23,"apples, bananas, blackberries, pears","apple juice, coffee","toothbrush, body lotion, paper towel, shampoo",
e35,2010/02/26,"pineapples, cherres",sports drinks,"conditioner, body lotion, paper towel, toothbrush","Andrew, Carter, Emily"
e38,2010/03/10,"oranges, apples, blueberries","tea, mineral water","paper towel, toothpaste, facial wash, mouth wash",
e41,2010/03/15,nectarines,sports drinks,"body lotion, mouth wash, mouthwash, toilet paper",
e43,2010/03/24,"blueberries, pineapples, apples, watermelons","mineral water, tea","toilet paper, mouth wash, facial wash","Carter, Kayden, Andrew, Emily"
e44,2010/03/28,"clementines, mangos, pineapples, apricots","mineral water, chocolate milk, mango juice","toilet paper, toothbrush",
e45,2010/03/29,"nectarines, apricots, pears","mineral water, mango juice, coffee, pineapple juice","mouth wash, body lotion, conditioner",
e53,2010/05/04,"pineapples, mangos, blackberries, strawberries",chocolate milk,"facial wash, mouth wash, toilet paper, mouthwash",
e57,2010/05/10,"blackberries, cherres","milk, guava juice","conditioner, body lotion",
e58,2010/05/14,"cherres, apples","milk, orange juice","mouth wash, facial wash, toothpaste, conditioner","Rylee, Olivia, Piper, Eva, Layla, Nora, Lydia"
e60,2010/05/23,"pears, blackberries, guava","mineral water, orange juice","toothpaste, shaving cream","Carter, Kayden, Andrew, Emily"
e62,2010/06/01,"mangos, cherres","soda, mineral water, pineapple juice, chocolate milk",mouth wash,
e65,2010/06/05,"guava, blueberries","coffee, milk, chocolate milk","mouth wash, mouthwash, facial wash","Olivia, Claire, Hazel, Nevaeh"
e69,2010/06/30,"cherres, pineapples, peaches, guava",orange juice,shampoo,
e73,2010/07/17,oranges,sports drinks,"paper towel, toilet paper, toothpaste, body lotion","Claire, Kinsley, Hazel, Rylee, Avery, Piper, Piper, Eva"
e74,2010/07/20,blueberries,"tea, apple juice, mineral water","shampoo, shaving cream, facial wash, toothbrush",
e76,2010/08/05,"apples, raspberries, blackberries",mineral water,"toothbrush, toilet paper, toothpaste",
e79,2010/08/06,"clementines, mangos, oranges","pineapple juice, soda",mouth wash,
e80,2010/08/10,apricots,pineapple juice,"toilet paper, shampoo",
e82,2010/08/14,"pears, mandarins, oranges","coffee, apple juice, orange juice","conditioner, shaving cream","Emily, Kayden, Andrew, Carter"
e83,2010/08/17,"cherres, clementines","sports drinks, mango juice","shaving cream, conditioner, mouth wash","Avery, Eva, Rylee, Piper, Kinsley"
e88,2010/08/31,"strawberries, mangos","coffee, pineapple juice, guava juice, mango juice","toothbrush, mouthwash",
e89,2010/09/08,cherres,"sports drinks, mango juice, apple juice, guava juice",toothbrush,
e92,2010/09/12,"pineapples, watermelons","mango juice, mineral water, milk","shampoo, conditioner, body lotion, toilet paper","Nora, Layla, Kinsley, Rylee, Claire, Hazel"
e96,2010/09/21,"nectarines, oranges","mineral water, guava juice","conditioner, shaving cream, facial wash, toothpaste",Kayden
e98,2010/09/25,watermelons,"chocolate milk, coffee, pineapple juice",toothbrush,
e100,2010/10/02,"clementines, bananas","sports drinks, milk, chocolate milk","shaving cream, facial wash",
e101,2010/10/04,"strawberries, blackberries","mango juice, chocolate milk","conditioner, toothbrush",
e103,2010/10/13,mangos,"chocolate milk, guava juice, mineral water, milk","mouth wash, toothbrush, shampoo","Hazel, Kinsley, Lydia, Nora, Eva, Piper, Piper"
e106,2010/10/15,"blueberries, cherres, mangos","guava juice, soda","facial wash, toothpaste, toilet paper","Kayden, Carter"
e108,2010/10/23,"clementines, strawberries, cherres",guava juice,toilet paper,"Andrew, Carter, Emily, Kayden"
e109,2010/10/27,"apricots, apples, blueberries, pears",chocolate milk,toothpaste,
e110,2010/10/29,"cherres, nectarines, raspberries","chocolate milk, coffee, orange juice","paper towel, toothpaste, toothbrush, shaving cream",
e111,2010/11/02,pineapples,apple juice,"body lotion, toothbrush",
e113,2010/11/06,mangos,"tea, pineapple juice","body lotion, mouth wash, conditioner","Jackson, Benjamin, Willow"
e114,2010/11/10,"clementines, nectarines, pears, oranges","chocolate milk, milk",mouth wash,
e116,2010/11/16,"cherres, strawberries, bananas, pineapples","soda, guava juice",shampoo,
e118,2010/11/28,apples,orange juice,mouth wash,
e120,2010/12/07,"pears, oranges","mineral water, chocolate milk","toilet paper, facial wash, paper towel",
e123,2010/12/17,"apricots, blackberries, oranges, pears",mango juice,paper towel,
e124,2010/12/22,"blackberries, strawberries","orange juice, milk, apple juice, soda","toilet paper, conditioner, body lotion, mouth wash",
e125,2010/12/29,"strawberries, blueberries, apricots",coffee,paper towel,"Claire, Layla, Lydia"
e126,2010/12/31,"apples, pineapples, cherres, peaches",guava juice,"body lotion, paper towel","Kayden, Emily, Carter"
e1533,2011/01/16,peaches,"tea, coffee",body lotion,Willow
e1535,2011/01/29,"mangos, watermelons, blackberries, pineapples","apple juice, mango juice","toilet paper, conditioner",
e1536,2011/02/02,"raspberries, watermelons, mandarins",guava juice,"shampoo, toilet paper, conditioner, toothpaste",
e1537,2011/02/08,"apples, pineapples, strawberries, apricots",sports drinks,"facial wash, toilet paper, toothbrush",
e1541,2011/02/21,"oranges, mangos, pineapples, cherres","chocolate milk, guava juice","mouthwash, mouth wash, facial wash",
e1543,2011/03/04,"peaches, mandarins, watermelons",sports drinks,"shaving cream, mouth wash, mouthwash, shampoo","Avery, Piper, Layla, Olivia"
e1545,2011/03/10,"nectarines, watermelons, apricots","mango juice, mineral water","facial wash, toothbrush, mouthwash","Nora, Nevaeh, Kinsley, Piper, Piper, Avery, Claire, Lydia, Eva"
e1549,2011/03/18,"watermelons, nectarines, strawberries","mango juice, coffee, apple juice, mineral water","toothpaste, shaving cream, toilet paper",
e1550,2011/03/24,nectarines,pineapple juice,"facial wash, paper towel, shampoo","Emily, Andrew, Kayden"
e1552,2011/03/26,pineapples,"pineapple juice, guava juice","shaving cream, paper towel, toothpaste",Andrew
e1553,2011/03/30,"strawberries, mangos, pears, pineapples","mango juice, coffee","mouthwash, facial wash",
e1557,2011/04/03,"peaches, mandarins",apple juice,"body lotion, conditioner, shampoo, mouthwash",
e1558,2011/04/07,"pears, nectarines",apple juice,"toilet paper, facial wash, paper towel",
e1561,2011/04/10,"apricots, watermelons, peaches, oranges","chocolate milk, tea, orange juice, apple juice","conditioner, mouth wash, toilet paper",
e1562,2011/04/12,peaches,sports drinks,"toothpaste, toilet paper, mouth wash, facial wash","Emily, Carter, Kayden"
e1564,2011/04/22,strawberries,"milk, mineral water","body lotion, conditioner, mouth wash",
e1567,2011/04/23,"strawberries, apricots, peaches, blueberries","pineapple juice, soda","facial wash, body lotion, shampoo","Jackson, Benjamin, Willow"
e1568,2011/04/27,"guava, watermelons, pineapples",chocolate milk,"toothpaste, mouth wash","Emily, Kayden, Carter"
e1571,2011/05/09,"bananas, nectarines, clementines","coffee, mineral water, guava juice","toothbrush, toilet paper",Kayden
e1573,2011/05/18,"peaches, guava","apple juice, mango juice, tea",body lotion,
e1577,2011/05/29,"oranges, nectarines, pears","coffee, mango juice","mouthwash, toothbrush, shaving cream","Eva, Hazel"
e1579,2011/06/06,"apples, peaches, bananas, blueberries","coffee, soda, orange juice",toothbrush,
e1582,2011/06/11,apricots,"coffee, mango juice, mineral water","mouthwash, toothbrush","Kayden, Emily"
e1583,2011/06/14,"cherres, apricots","mango juice, guava juice, tea","facial wash, toothpaste",
e1584,2011/06/18,"bananas, apples","soda, mineral water","toothpaste, body lotion, toilet paper",
e1585,2011/06/24,"mangos, strawberries, pineapples, apricots","apple juice, coffee, pineapple juice","toothpaste, facial wash",
e1588,2011/06/30,"strawberries, clementines, oranges","mineral water, sports drinks, tea","facial wash, toilet paper, mouthwash",
e1592,2011/07/04,"apples, mangos, guava","guava juice, tea","body lotion, facial wash, toilet paper",
e1593,2011/07/06,"mandarins, oranges, cherres","orange juice, mineral water, guava juice","shaving cream, toilet paper, body lotion, conditioner","Avery, Layla, Hazel, Olivia, Claire"
e1595,2011/07/12,"watermelons, strawberries, mandarins","guava juice, mango juice",mouthwash,"Benjamin, Willow, Jackson, Avery"
e1599,2011/07/19,"watermelons, mandarins, pineapples","apple juice, guava juice","body lotion, mouthwash, paper towel, shaving cream","Avery, Benjamin, Willow"
e1602,2011/07/24,"apricots, oranges",soda,"body lotion, mouth wash",
e1605,2011/08/01,"watermelons, peaches, mandarins, oranges","mineral water, pineapple juice, sports drinks","mouthwash, conditioner, toothpaste, paper towel","Layla, Rylee, Hazel, Kinsley, Olivia, Lydia"
e1609,2011/08/08,"pears, pineapples","mango juice, coffee, apple juice, tea","shaving cream, toothpaste","Andrew, Carter"
e1612,2011/08/15,"guava, pears, watermelons","tea, apple juice, guava juice, coffee","paper towel, shampoo",
e1613,2011/08/23,raspberries,"chocolate milk, pineapple juice, sports drinks, orange juice","mouthwash, mouth wash",
e1616,2011/09/04,"apples, apricots","mineral water, sports drinks, mango juice, guava juice",paper towel,"Kinsley, Nevaeh, Rylee, Avery, Piper, Layla"
e1617,2011/09/07,"guava, mandarins","chocolate milk, guava juice, apple juice, milk",mouth wash,Jackson
e1619,2011/09/30,"oranges, apricots","milk, pineapple juice, apple juice","shaving cream, toothpaste, facial wash, mouthwash",
e1622,2011/10/13,"pineapples, guava, mangos","sports drinks, pineapple juice","facial wash, toilet paper","Andrew, Kayden, Carter, Emily"
e1624,2011/10/19,"mandarins, apricots","chocolate milk, soda, milk","conditioner, shampoo, shaving cream, paper towel",
e1628,2011/10/24,"pineapples, guava, blackberries","tea, milk","mouth wash, shampoo, toothbrush","Benjamin, Avery, Willow, Jackson"
e1629,2011/10/31,"peaches, nectarines","apple juice, mango juice, soda","body lotion, facial wash, paper towel",
e1630,2011/11/05,"watermelons, guava, blueberries, blackberries","orange juice, pineapple juice","toothbrush, shampoo, conditioner",
e1632,2011/11/17,"blackberries, apricots, strawberries, blueberries","soda, mango juice","shampoo, mouthwash, paper towel","Layla, Claire, Nora, Piper, Avery, Nevaeh, Hazel, Piper, Rylee, Olivia, Eva, Kinsley, Lydia"
e1634,2011/11/26,"apricots, apples, mandarins, watermelons",apple juice,"conditioner, toothbrush, shaving cream","Carter, Kayden"
e1635,2011/12/02,"bananas, mandarins, pineapples, pears","tea, pineapple juice","mouthwash, facial wash","Avery, Benjamin, Willow"
e1637,2011/12/04,"blackberries, bananas, pineapples, apricots","orange juice, apple juice, tea",mouth wash,
e1638,2011/12/09,watermelons,"coffee, milk","shaving cream, body lotion, mouth wash",Carter
e1641,2011/12/11,pears,"mineral water, apple juice, coffee","toothbrush, conditioner, shampoo, body lotion","Lydia, Nora, Olivia, Rylee"
e1645,2011/12/18,pears,"tea, mineral water, mango juice","conditioner, toilet paper",
e1647,2011/12/25,"raspberries, blueberries","sports drinks, mango juice","conditioner, paper towel, toothpaste, mouth wash",
e3068,2012/01/12,peaches,mineral water,"shampoo, toothbrush, facial wash, shaving cream",Hazel
e3070,2012/01/17,"nectarines, strawberries","guava juice, coffee, apple juice, tea",conditioner,"Carter, Kayden, Emily"
e3072,2012/01/28,"mangos, oranges, apples, peaches","apple juice, coffee, mineral water","mouthwash, toothpaste, conditioner, body lotion","Andrew, Emily, Kayden, Carter"
e3075,2012/01/30,"guava, cherres, strawberries, nectarines","apple juice, soda, coffee",paper towel,"Andrew, Emily"
e3077,2012/02/06,"mangos, oranges",soda,"toothpaste, shampoo, conditioner, body lotion","Kinsley, Olivia, Piper, Rylee, Nora, Lydia"
e3078,2012/02/08,watermelons,"tea, orange juice",facial wash,
e3080,2012/02/14,"guava, apricots","soda, pineapple juice","body lotion, facial wash",
e3081,2012/02/16,"bananas, blueberries, raspberries","guava juice, pineapple juice",mouth wash,"Emily, Kayden, Andrew, Carter"
e3084,2012/02/25,peaches,"milk, sports drinks",toothpaste,"Kayden, Emily, Andrew, Carter"
e3089,2012/02/28,"clementines, oranges",soda,"shampoo, facial wash, body lotion","Kayden, Carter, Andrew, Emily"
e3090,2012/03/02,"blackberries, blueberries, strawberries","mineral water, milk","shampoo, mouthwash","Hazel, Layla, Piper, Olivia, Eva, Avery, Nora"
e3093,2012/03/06,"blueberries, strawberries, pears, apricots",soda,"mouth wash, conditioner, toothbrush",
e3094,2012/03/15,pears,"chocolate milk, mango juice","mouth wash, conditioner",Kayden
e3096,2012/03/21,"clementines, mandarins",coffee,shampoo,
e3098,2012/03/25,"nectarines, mangos, mandarins","mineral water, soda","shaving cream, mouthwash","Piper, Avery, Claire"
e3099,2012/03/31,"blueberries, clementines, watermelons","coffee, pineapple juice, milk","toothbrush, conditioner, toilet paper, paper towel","Piper, Piper, Rylee, Avery, Layla, Hazel, Lydia, Kinsley, Eva, Nevaeh"
e3100,2012/04/07,"clementines, raspberries, guava","milk, chocolate milk, mineral water, guava juice",toothbrush,"Kayden, Andrew"
e3102,2012/05/06,"blackberries, clementines","tea, mango juice, sports drinks, apple juice","conditioner, shaving cream, mouthwash, toilet paper",
e3103,2012/05/16,"nectarines, raspberries","orange juice, tea, chocolate milk","facial wash, mouth wash, body lotion","Piper, Nevaeh, Olivia, Avery, Lydia, Nora, Piper, Layla, Claire, Eva"
e3107,2012/05/31,"apples, strawberries, nectarines, cherres",orange juice,"toothbrush, toilet paper",Benjamin
e3109,2012/06/04,"blackberries, bananas","pineapple juice, mineral water, coffee","toothbrush, toothpaste",
e3110,2012/06/07,"apples, bananas","guava juice, soda, pineapple juice, coffee","toilet paper, facial wash, toothbrush, mouth wash",Nevaeh
e3111,2012/06/16,"cherres, apples, guava","guava juice, tea","facial wash, paper towel, toilet paper",
e3114,2012/06/17,"nectarines, oranges, guava, mangos","apple juice, sports drinks",shampoo,
e3115,2012/06/22,"cherres, strawberries",apple juice,"toothpaste, shampoo, toilet paper","Nora, Layla"
e3117,2012/06/26,mangos,soda,"paper towel, shaving cream, facial wash","Andrew, Emily, Carter, Kayden"
e3118,2012/06/27,"blackberries, mangos, cherres, guava",sports drinks,"toothbrush, paper towel, mouth wash, conditioner",
e3122,2012/07/02,pears,"pineapple juice, sports drinks","mouthwash, shampoo, mouth wash",
e3123,2012/07/04,blueberries,"soda, coffee","facial wash, shaving cream",Andrew
e3126,2012/07/16,peaches,"apple juice, orange juice","mouth wash, shampoo",
e3128,2012/07/22,watermelons,"apple juice, orange juice, mineral water, tea","toothbrush, body lotion, toothpaste",
e3129,2012/07/28,"apples, blackberries",guava juice,"toothpaste, shampoo, facial wash, body lotion",
e3131,2012/07/29,"bananas, nectarines, apples",chocolate milk,"mouthwash, body lotion, shampoo, mouth wash",
e3132,2012/08/03,"mandarins, clementines","mango juice, coffee","toilet paper, shaving cream, mouthwash, body lotion","Kayden, Carter, Emily, Andrew"
e3133,2012/08/08,"blueberries, apricots","mineral water, mango juice, apple juice",toothbrush,Carter
e3138,2012/08/20,"apples, cherres","milk, sports drinks","mouth wash, paper towel, facial wash","Kayden, Andrew, Carter, Emily"
e3139,2012/08/24,"pineapples, cherres, clementines, pears","milk, orange juice","toothbrush, paper towel, facial wash, conditioner",Andrew
e3142,2012/08/29,cherres,"milk, pineapple juice, orange juice","paper towel, toothpaste","Willow, Benjamin, Jackson, Avery"
e3143,2012/09/10,"raspberries, peaches, guava","milk, soda","facial wash, conditioner","Andrew, Carter, Kayden"
e3147,2012/09/29,"mangos, pears, pineapples, apricots","tea, orange juice, soda, apple juice",paper towel,"Lydia, Piper, Kinsley, Avery"
e3149,2012/10/03,"peaches, nectarines, raspberries",mineral water,"conditioner, toothpaste, mouth wash, shampoo",
e3150,2012/10/09,"raspberries, apples","orange juice, chocolate milk, apple juice, pineapple juice",shampoo,"Piper, Nora"
e3151,2012/10/11,"apricots, raspberries, oranges","milk, soda",paper towel,
e3152,2012/10/15,"pineapples, apples, cherres, blueberries","milk, mineral water, pineapple juice, coffee","mouth wash, facial wash","Carter, Andrew, Emily"
e3153,2012/10/19,"nectarines, clementines, pears","tea, sports drinks","paper towel, toothpaste, facial wash, shampoo","Lydia, Piper, Eva, Piper"
e3154,2012/10/22,raspberries,"apple juice, tea, soda, mineral water","toothpaste, toilet paper",
e3155,2012/10/26,"blueberries, nectarines",mango juice,"shaving cream, conditioner, toilet paper",
e3159,2012/11/04,"mandarins, raspberries, mangos","chocolate milk, sports drinks","shaving cream, mouth wash",
e3160,2012/11/07,"apricots, pineapples, peaches, raspberries","guava juice, sports drinks, soda, pineapple juice","toothpaste, paper towel","Andrew, Carter, Kayden"
e3162,2012/11/13,raspberries,"sports drinks, chocolate milk","toothpaste, mouthwash, mouth wash, shampoo","Rylee, Claire, Piper, Nevaeh, Hazel, Lydia, Avery, Eva, Piper"
e3164,2012/11/22,"apples, strawberries, pineapples","apple juice, chocolate milk","shampoo, mouth wash, facial wash, body lotion","Carter, Emily, Kayden"
e3167,2012/11/25,"clementines, blackberries, apples, blueberries","mineral water, guava juice","mouth wash, facial wash","Jackson, Avery, Willow"
e3170,2012/12/08,"oranges, mangos, strawberries","mineral water, coffee, mango juice","conditioner, paper towel, toothpaste",
e3172,2012/12/10,watermelons,"milk, mango juice, soda, guava juice","paper towel, toilet paper, shaving cream",
e3173,2012/12/12,"raspberries, cherres, mangos","tea, guava juice, apple juice, coffee",toilet paper,
e3175,2012/12/17,"cherres, apples","mineral water, tea","mouthwash, toothpaste, conditioner, paper towel","Jackson, Benjamin, Avery, Willow"
e3176,2012/12/21,pineapples,"milk, guava juice","toothpaste, shampoo, body lotion, mouthwash","Willow, Jackson"
e4601,2013/01/01,"peaches, clementines","tea, milk, orange juice",toothpaste,
e4602,2013/01/06,"blackberries, bananas, apricots","guava juice, coffee","shaving cream, toothpaste, conditioner",
e4610,2013/02/10,"peaches, strawberries","coffee, guava juice","shaving cream, mouth wash",
e4612,2013/02/18,"guava, raspberries, pineapples, watermelons","orange juice, milk, chocolate milk","toothbrush, paper towel, toilet paper, body lotion",
